row_label_raw,row_label_full,col_0,Trợ cấp hưu trí Triệu VND,Quyền khai thác mô Triệu VND,Chi phí phục hồi môi trường mô Triệu VND,Trợ cấp thời việc Triệu VND,Tổng Triệu VND,numeric__Trợ cấp hưu trí Triệu VND,numeric__Quyền khai thác mô Triệu VND,numeric__Chi phí phục hồi môi trường mô Triệu VND,numeric__Trợ cấp thời việc Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.708.907,533.117,108.700,18.357,6.369.081,5708907.0,533117.0,108700.0,18357.0,6369081.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,68.449,10.350,5.131,63,83.993,68449.0,10350.0,5131.0,63.0,83993.0
Tái đánh giá nợ phải trả phúc lợi hưu trí (*),Tái đánh giá nợ phải trả phúc lợi hưu trí (*),Tái đánh giá nợ phải trả phúc lợi hưu trí (*),(1.241.558),-,-,-,(1.241.558),-1241558.0,,,,-1241558.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(215.736),(173.146),-,-,(388.882),-215736.0,-173146.0,,,-388882.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(181.433),-,-,-,(181.433),-181433.0,,,,-181433.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.138.629,370.321,113.831,18.420,4.641.201,4138629.0,370321.0,113831.0,18420.0,4641201.0
