row_label_raw,row_label_full,col_0,Loại tiền tệ,Lãi suất năm,Năm đáo hạn,31/12/2022Triệu VND,1/1/2022Triệu VND,numeric__Loại tiền tệ,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2022Triệu VND,numeric__1/1/2022Triệu VND
Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),Vay dài hạn (*),,,,,
Khoản vay ngân hàngcó đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàngcó đảm bảo,Khoản vay ngân hàngcó đảm bảo,VND,"3,9% – 11,0%",2023 – 2028,3.761.651,3.500.738,,,,3761651.0,3500738.0
Khoản vay ngân hàngcó đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàngcó đảm bảo,Khoản vay ngân hàngcó đảm bảo,USD,"5,1% – 7,0%",2027,14.256.000,4.588.000,,,2027.0,14256000.0,4588000.0
Khoản vay ngân hàngkhông có đảm bảo,Vay dài hạn (*) > Khoản vay ngân hàngkhông có đảm bảo,Khoản vay ngân hàngkhông có đảm bảo,VND,"6,5% – 7,5%",2023 – 2027,426.609,-,,,,426609.0,
,,,,,,18.444.260,8.088.738,,,,18444260.0,8088738.0
Khoản đến hạn trả trong vòng12 tháng,Vay dài hạn (*) > Khoản đến hạn trả trong vòng12 tháng,Khoản đến hạn trả trong vòng12 tháng,,,,(1.317.816),(2.346.597),,,,-1317816.0,-2346597.0
Khoản đến hạn trả sau 12tháng,Vay dài hạn (*) > Khoản đến hạn trả sau 12tháng,Khoản đến hạn trả sau 12tháng,,,,17.126.444,5.742.141,,,,17126444.0,5742141.0
Trái phiếu thường (**),Trái phiếu thường (**),Trái phiếu thường (**),VND,"8,7% – 12,1%",2023 – 2027,35.413.775(270.947),35.401.629(470.049),,,,,
Chi phí phát hành trái phiếuchưa phân bổ,Trái phiếu thường (**) > Chi phí phát hành trái phiếuchưa phân bổ,Chi phí phát hành trái phiếuchưa phân bổ,,,,35.142.828,34.931.580,,,,35142828.0,34931580.0
Khoản đến hạn trả trong vòng12 tháng,Trái phiếu thường (**) > Khoản đến hạn trả trong vòng12 tháng,Khoản đến hạn trả trong vòng12 tháng,,,,(22.187.234),(1.500.000),,,,-22187234.0,-1500000.0
Khoản đến hạn trả sau 12tháng,Trái phiếu thường (**) > Khoản đến hạn trả sau 12tháng,Khoản đến hạn trả sau 12tháng,,,,12.955.594,33.431.580,,,,12955594.0,33431580.0
Nợ thuê tài chính (***),Trái phiếu thường (**) > Nợ thuê tài chính (***),Nợ thuê tài chính (***),VND,"8,6% - 11,2%",2035,358.842,210.231,,,2035.0,358842.0,210231.0
Khoản đến hạn trả trong vòng12 tháng,Trái phiếu thường (**) > Khoản đến hạn trả trong vòng12 tháng,Khoản đến hạn trả trong vòng12 tháng,,,,(15.255),(12.034),,,,-15255.0,-12034.0
Khoản đến hạn trả sau 12tháng,Trái phiếu thường (**) > Khoản đến hạn trả sau 12tháng,Khoản đến hạn trả sau 12tháng,,,,343.587,198.197,,,,343587.0,198197.0
