row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2022 Triệu VND,2021 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2022 Triệu VND,numeric__2021 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,27,76.380.750,89.791.619,1.0,27.0,76380750.0,89791619.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,27,191.525,1.162.852,2.0,27.0,191525.0,1162852.0
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,27,76.189.225,88.628.767,10.0,27.0,76189225.0,88628767.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,28,55.154.201,66.493.966,11.0,28.0,55154201.0,66493966.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,21.035.024,22.134.801,20.0,,21035024.0,22134801.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,29,2.575.563,6.799.578,21.0,29.0,2575563.0,6799578.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,30,6.361.642,5.706.531,22.0,30.0,6361642.0,5706531.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,4.847.702,4.669.426,23.0,,4847702.0,4669426.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,24,7(c),4.339.650,3.896.641,24.0,,4339650.0,3896641.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,31,12.511.539,11.786.338,25.0,31.0,12511539.0,11786338.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,32,3.854.314,4.064.969,26.0,32.0,3854314.0,4064969.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,5.222.742,11.273.182,30.0,,5222742.0,11273182.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,33,279.707,501.150,31.0,33.0,279707.0,501150.0
Chi phí khác,Chi phí khác,Chi phí khác,32,34,355.299,285.548,32.0,34.0,355299.0,285548.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,(75.592),215.602,40.0,,-75592.0,215602.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,5.147.150,11.488.784,50.0,,5147150.0,11488784.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,35,626.750,1.499.249,51.0,35.0,626750.0,1499249.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,35,(233.984),(111.846),52.0,35.0,-233984.0,-111846.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,4.754.384,10.101.381,60.0,,4754384.0,10101381.0
