row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Nhà cửa và cơ sở hạ tầng Triệu VND,Tổng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Nhà cửa và cơ sở hạ tầng Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,34.049,1.140.753,1.174.802,34049.0,1140753.0,1174802.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(764),(25.790),(26.554),-764.0,-25790.0,-26554.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,33.285,1.114.963,1.148.248,33285.0,1114963.0,1148248.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,364.745,364.745,,364745.0,364745.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,61.952,61.952,,61952.0,61952.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,(8.212),(8.212),,-8212.0,-8212.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,418.485,418.485,,418485.0,418485.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.049,776.008,810.057,34049.0,776008.0,810057.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,33.285,696.478,729.763,33285.0,696478.0,729763.0
