row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê,Thiết bị văn phòng và khác,Máy móc và thiết bị,Tài sản khai khoáng khác,Phương tiện vận chuyển,Tổng,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê,numeric__Thiết bị văn phòng và khác,numeric__Máy móc và thiết bị,numeric__Tài sản khai khoáng khác,numeric__Phương tiện vận chuyển,numeric__Tổng
,,,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê,Thiết bị văn phòng và khác,Máy móc và thiết bị,Tài sản khai khoáng khác,Phương tiện vận chuyển,Tổng,,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,15.982.093,93.978,217.102,26.918.241,5.095.927,166.764,48.474.105,15982093.0,93978.0,217102.0,26918241.0,5095927.0,166764.0,48474105.0
Tăng từ hợp nhất kinh doanh,Nguyên giá > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,44.535,-,303,61.775,-,1.131,107.744,44535.0,,303.0,61775.0,,1131.0,107744.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.582,1.067,168.128,262.757,-,3.809,446.343,10582.0,1067.0,168128.0,262757.0,,3809.0,446343.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,895.527,-,22.736,877.678,-,7.799,1.803.740,895527.0,,22736.0,877678.0,,7799.0,1803740.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Nguyên giá > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(17),-,(32),(840),-,758,(131),-17.0,,-32.0,-840.0,,758.0,-131.0
Thanh lý/Xóa sô,Nguyên giá > Thanh lý/Xóa sô,Thanh lý/Xóa sô,(73.356),-,(97.146),(174.210),-,(2.430),(347.142),-73356.0,,-97146.0,-174210.0,,-2430.0,-347142.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.225,-,36.159,118.565,-,720,157.669,2225.0,,36159.0,118565.0,,720.0,157669.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(38.756),-,-,(138.377),-,-,(177.133),-38756.0,,,-138377.0,,,-177133.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,16.822.833,95.045,347.250,27.925.589,5.095.927,178.551,50.465.195,16822833.0,95045.0,347250.0,27925589.0,5095927.0,178551.0,50465195.0
