row_label_raw,row_label_full,col_0,31/12/2022 > %vốnsở hữu,31/12/2022 > %quyềnbiểu quyết,31/12/2022 > Giá gốcTriệu VND,31/12/2022 > Dự phònggiảm giáTriệu VND,31/12/2022 > Giá trịhợp lýTriệu VND,31/12/2022 > %vốnsở hữu_1,1/1/2022 > %quyền biểu quyết,1/1/2022 > Giá gốcTriệu VND,1/1/2022 > Dự phònggiảm giáTriệu VND,numeric__31/12/2022 > %vốnsở hữu,numeric__31/12/2022 > %quyềnbiểu quyết,numeric__31/12/2022 > Giá gốcTriệu VND,numeric__31/12/2022 > Dự phònggiảm giáTriệu VND,numeric__31/12/2022 > Giá trịhợp lýTriệu VND,numeric__31/12/2022 > %vốnsở hữu_1,numeric__1/1/2022 > %quyền biểu quyết,numeric__1/1/2022 > Giá gốcTriệu VND,numeric__1/1/2022 > Dự phònggiảm giáTriệu VND
"▪ Công ty Cổ phần TrustingSocial (""TSVN"") (**)","▪ Công ty Cổ phần TrustingSocial (""TSVN"") (**)","▪ Công ty Cổ phần TrustingSocial (""TSVN"") (**)","25,1%","25,1%",1.511.280,-,(*),-,-,-,-,0.251,0.251,1511280.0,,,,,,
"▪ Nyobolt Limited (""Nyobolt"")(*** )","▪ Nyobolt Limited (""Nyobolt"")(*** )","▪ Nyobolt Limited (""Nyobolt"")(*** )","15,0%","15,0%",1.342.363,-,(*),-,-,-,-,0.15,0.15,1342363.0,,,,,,
,,,,,2.853.643,-,,,,-,-,,,2853643.0,,,,,,
