row_label_raw,row_label_full,col_0,Tài sãnkhai khoángkhácTriệu VND,Chi phí đấttrả trướcTriệu VND,Chi phíbồi thườngđấtTriệu VND,Công cụ vàdụng cụTriệu VND,Lợi thếkinh doanhtừ cổ phầnhóaTriệu VND,Heo giốngTriệu VND,Chi phíkhácTriệu VND,TổngTriệu VND,numeric__Tài sãnkhai khoángkhácTriệu VND,numeric__Chi phí đấttrả trướcTriệu VND,numeric__Chi phíbồi thườngđấtTriệu VND,numeric__Công cụ vàdụng cụTriệu VND,numeric__Lợi thếkinh doanhtừ cổ phầnhóaTriệu VND,numeric__Heo giốngTriệu VND,numeric__Chi phíkhácTriệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.710.586,1.496.619,1.424.986,823.936,12.539,35.744,1.089.272,6.593.682,1710586.0,1496619.0,1424986.0,823936.0,12539.0,35744.0,1089272.0,6593682.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,-,-,141.588,-,-,-,141.588,,,,141588.0,,,,141588.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,180.106,1.500,-,649.411,-,-,504.800,1.335.817,180106.0,1500.0,,649411.0,,,504800.0,1335817.0
Chuyển từ/(sang) chi phí trả trướcngắn hạn,Chuyển từ/(sang) chi phí trả trướcngắn hạn,Chuyển từ/(sang) chi phí trả trướcngắn hạn,-,-,-,978,-,-,(63),915,,,,978.0,,,-63.0,915.0
Chuyển từ/(sang) xây dựng cơ bảnđở dang,Chuyển từ/(sang) xây dựng cơ bảnđở dang,Chuyển từ/(sang) xây dựng cơ bảnđở dang,-,(7.669),-,311.364,-,43.359,(135),346.919,,-7669.0,,311364.0,,43359.0,-135.0,346919.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,-,-,(1.639),-,-,-,(1.639),,,,-1639.0,,,,-1639.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(168.965),(35.559),(81.323),(342.204),(3.135),(21.468),(379.753),(1.032.407),-168965.0,-35559.0,-81323.0,-342204.0,-3135.0,-21468.0,-379753.0,-1032407.0
Thanh lý/ Xóa số,Thanh lý/ Xóa số,Thanh lý/ Xóa số,-,(13.587),-,(41.588),-,(14.728),(55.091),(124.994),,-13587.0,,-41588.0,,-14728.0,-55091.0,-124994.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.721.727,1.441.304,1.343.663,1.541.846,9.404,42.907,1.159.030,7.259.881,1721727.0,1441304.0,1343663.0,1541846.0,9404.0,42907.0,1159030.0,7259881.0
