row_label_raw,row_label_full,col_0,Giá trị ghi nhận tại thời điểm muaTriệu VND,numeric__Giá trị ghi nhận tại thời điểm muaTriệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,18.224,18224.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,48.504,48504.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,45.133,45133.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,197.786,197786.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,50.111,50111.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,2.150.019,2150019.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,35.209,35209.0
Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,Chỉ phí trả trước dài hạn,311.992,311992.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,45.014,45014.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,(143.480),-143480.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(5.609),-5609.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(133.041),-133041.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(445.043),-445043.0
Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,Tài sản thuần có thể xác định được,2.174.819,2174819.0
Tài sản thuần được hợp nhất (51%),Tài sản thuần được hợp nhất (51%),Tài sản thuần được hợp nhất (51%),1.109.158,1109158.0
Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16),Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16),Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16),"2,403,981",
Giá trị hợp lý của khoản đầu tư trước đây vào Phúc Long Heritage,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16) > Giá trị hợp lý của khoản đầu tư trước đây vào Phúc Long Heritage,Giá trị hợp lý của khoản đầu tư trước đây vào Phúc Long Heritage,(1.022.739),-1022739.0
Giá phí hợp nhất kinh doanh,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16) > Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,2.490.400,2490400.0
Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16) > Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,Tiền và các khoản tương đương tiền thu từ hợp nhất kinh doanh,18.224,18224.0
Khoản tiền thanh toán thuần,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh (Thuyết minh 16) > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,(2.472.176),-2472176.0
