row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Tính chất giao dịch,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
Bên liên quan,Bên liên quan,Bên liên quan,Tính chất giao dịch,2022Triệu VND,2021Triệu VND,,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Khoản vay đã nhận,4.423.179,3.400.628,,4423179.0,3400628.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Khoản vay đã trả,3.730.817,2.710.840,,3730817.0,2710840.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Trái phiếu phát hành (đại lý phát hành) (*),2.000.000,4.399.980,,2000000.0,4399980.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Trái phiếu mua lại (đại lý thanh toán),4.200.000,109.198,,4200000.0,109198.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Phí phát hành trái phiếu,39.262,105.208,,39262.0,105208.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Mua chứng khoán kinh doanh,6.710.550,6.567.146,,6710550.0,6567146.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Bán chứng khoán kinh doanh,7.710.854,4.571.678,,7710854.0,4571678.0
Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Công ty liên kết > Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam và các công ty con,Chi phí lãi vay,525.611,284.365,,525611.0,284365.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Thành viên quản lý chủ chốt,Các bên liên quan khác > Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thủ lao (**),178.968,185.652,,178968.0,185652.0
