row_label_raw,row_label_full,STT,Tên công ty,Thuyết minh,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích kinh tế31/12/2022 1/1/2022,Tỷ lệ lợi ích kinh tế31/12/2022 1/1/2022_1,numeric__Tên công ty,numeric__Thuyết minh,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích kinh tế31/12/2022 1/1/2022,numeric__Tỷ lệ lợi ích kinh tế31/12/2022 1/1/2022_1
Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,Công ty liên kết sở hữu trực tiếp,,,,,,
1,1,1,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam (“Techcombank”),,Ngân hàng,"Tòa nhà Techcombank, 191 Bà Triệu,Phường Lê Đại Hành, Quận Hai Bà Trưng,Thành phố Hà Nội, Việt Nam",Thuyết minh 7(c),Thuyết minh 7(c),,,,,,
Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,Công ty liên kết sở hữu gián tiếp,,,,,,
1,Công ty liên kết sở hữu gián tiếp > 1,1,Công ty Cổ phần Thực phẩm Cholimex (“Cholimex”),(vi),Sản xuất và kinh doanh gia vị,"Lô C40 – 43/I, Đường số 7, Khu Công nghiệpVĩnh Lộc, Huyện Bình Chánh,Thành phố Hồ Chí Minh, Việt Nam","32,8%","32,8%",,,,,0.32799999999999996,0.32799999999999996
2,Công ty liên kết sở hữu gián tiếp > 2,2,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản (“Vissan”),(vii),"Chế biến, kinh doanh thịt tươi, thực phẩm chế biến và các sản phẩm từ thịt","Số 420 Nơ Trang Long, Phường 13,Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","24,9%","24,9%",,,,,0.249,0.249
3,Công ty liên kết sở hữu gián tiếp > 3,3,"Jiangwu H.C. Starck Tungsten Products Co., Ltd.",(viii),Chế biến sâu kìm loại màu và kim loại quý (Vonfram),"Khu Công nghiệp Thủy Tây, Quận Chương Cống,Thành phố Cám Châu, Tỉnh Giang Tây, Trung Quốc","30,0%","30,0%",,,,,0.3,0.3
4,Công ty liên kết sở hữu gián tiếp > 4,4,Công ty Cổ phần Phúc Long Heritage (“Phúc Long Heritage”),(v)/Thuyết minh 5,Thực phẩm và đồ uống,"42/24 - 42/26 Đường số 643, Tạ Quang Bửu,Phường 4, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",-,"20,0%",,,,,,0.2
