row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcTriệu VND,Nâng cấptài sản thuêTriệu VND,Thiết bịvăn phòngvà khácTriệu VND,Máy mócvà thiết bịTriệu VND,Tài sảnkhai khoảngkhácTriệu VND,Phương tiệnvận chuyểnTriệu VND,TổngTriệu VND,numeric__Nhà cửa vàvật kiến trúcTriệu VND,numeric__Nâng cấptài sản thuêTriệu VND,numeric__Thiết bịvăn phòngvà khácTriệu VND,numeric__Máy mócvà thiết bịTriệu VND,numeric__Tài sảnkhai khoảngkhácTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__TổngTriệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.456.677,86.369,217.102,12.014.540,1.491.303,56.485,17.322.476,3456677.0,86369.0,217102.0,12014540.0,1491303.0,56485.0,17322476.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,838.988,3.387,30.960,1.835.378,153.422,21.301,2.883.436,838988.0,3387.0,30960.0,1835378.0,153422.0,21301.0,2883436.0
Chuyển từ/(sang) chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển từ/(sang) chi phí trả trước dài hạn,Chuyển từ/(sang) chi phí trả trước dài hạn,(17),-,328,(2.083),-,2,(1.770),-17.0,,328.0,-2083.0,,2.0,-1770.0
Chuyển sang xây dựng cơ bản dở dang,Giá trị hao mòn lũy kế > Chuyển sang xây dựng cơ bản dở dang,Chuyển sang xây dựng cơ bản dở dang,-,-,-,(4.958),-,(383),(5.341),,,,-4958.0,,-383.0,-5341.0
Thanh lý/Xóa số,Giá trị hao mòn lũy kế > Thanh lý/Xóa số,Thanh lý/Xóa số,(28.680),-,(65.763),(155.772),-,(1.315),(251.530),-28680.0,,-65763.0,-155772.0,,-1315.0,-251530.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(11.234),-,7.330,(89.701),-,-,(93.605),-11234.0,,7330.0,-89701.0,,,-93605.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.255.734,89.756,189.957,13.597.404,1.644.725,76.090,19.853.666,4255734.0,89756.0,189957.0,13597404.0,1644725.0,76090.0,19853666.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,12.525.416,7.609,-,14.903.701,3.604.624,110.279,31.151.629,12525416.0,7609.0,,14903701.0,3604624.0,110279.0,31151629.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.567.099,5.289,157.293,14.328.185,3.451.202,102.461,30.611.529,12567099.0,5289.0,157293.0,14328185.0,3451202.0,102461.0,30611529.0
