row_label_raw,row_label_full,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_1,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_2,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_3,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_4,Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_5,numeric__Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_1,numeric__Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_2,numeric__Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_3,numeric__Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_4,numeric__Bảo lãnh phát hànhCông ty Cổ phần Chứng khoán Kỹ thương_5
,,,31/12/2022Triệu VND,1/1/2022Triệu VND,Ngày đáo hạn,Lãi suất,Tài sảnthế chấp,,,,,
▪ Trái phiếu được đảm bảo,▪ Trái phiếu được đảm bảo,▪ Trái phiếu được đảm bảo,11.261.434,12.400.000,Từ 2023 đến 2027,"Từ 9,2% đến 10,2% một nằm trong nằm đầu tiên, và từ 2,5% đến 4,0%một nằm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của cácngañan hàng được chọn trong thời gian còn lại","(i), (iv),(v), (vi)",11261434.0,12400000.0,,,
▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPS,▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPS,▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPS,17.452.341,18.501.629,Từ 2023 đến 2026,"Từ 9,3% đến 10,0% một nằm trong nằm đầu tiên, và từ 2,5% đến 4,0%một nằm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng của cácngañan hàng được chọn trong thời gian còn lại",Không,17452341.0,18501629.0,,,
▪ Trái phiếu được đảm bảoCông ty Cổ phần Chứng khoán MB,▪ Trái phiếu được đảm bảoCông ty Cổ phần Chứng khoán MB,▪ Trái phiếu được đảm bảoCông ty Cổ phần Chứng khoán MB,3.000.000,3.000.000,2025,"9,9% một nằm trong nằm đầu tiên, 10,9% một nằm trong nằm thứ 2 và3,9% một nằm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng củacác ngân hàng được chọn trong thời gian còn lại","(ii), (vi)",3000000.0,3000000.0,2025.0,,
▪ Trái phiếu được đảm bảoCông ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,▪ Trái phiếu được đảm bảoCông ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,▪ Trái phiếu được đảm bảoCông ty TNHH Chứng khoán Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,1.500.000,1.500.000,2026,"9,2% một nằm trong nằm đầu tiên và 3,2% một nằm cộng với bình quânlãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chọn trong thờigian còn lại","(iii), (vi)",1500000.0,1500000.0,2026.0,,
▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPBank,▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPBank,▪ Trái phiếu không đảm bảoCông ty Cổ phần Chứng khoán VPBank,1.700.000,-,2027,"4,1% một nằm cộng với bình quân lãi suất tiền gửi kỳ hạn 12 tháng củacác ngân hàng được chọn trong thời gian còn lại",Không,1700000.0,,2027.0,,
▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,500.000,-,2027,"9,3% một nằm trong nằm đầu tiên và 4,24% một nằm cộng với bìnhquản lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chontrong thời gian còn lại",Không,500000.0,,2027.0,,
▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,▪ Trái phiếu được đảm bảoTổng trái phiếu thường dài hạn theo mệnh giá,35.413.775,35.401.629,2027,"9,3% một nằm trong nằm đầu tiên và 4,24% một nằm cộng với bìnhquản lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chontrong thời gian còn lại",Không,35413775.0,35401629.0,2027.0,,
Khoản đến hạn trả trong vòng 12 thángChi phí phát hành trái phiếu chưa phân bổ,Khoản đến hạn trả trong vòng 12 thángChi phí phát hành trái phiếu chưa phân bổ,Khoản đến hạn trả trong vòng 12 thángChi phí phát hành trái phiếu chưa phân bổ,(22.187.234)(270.947),(1.500.000)(470.049),2027,"9,3% một nằm trong nằm đầu tiên và 4,24% một nằm cộng với bìnhquản lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chontrong thời gian còn lại",Không,,,2027.0,,
Khoản đến hạn tra sau 12 tháng,Khoản đến hạn tra sau 12 tháng,Khoản đến hạn tra sau 12 tháng,12.955.594,33.431.580,2027,"9,3% một nằm trong nằm đầu tiên và 4,24% một nằm cộng với bìnhquản lãi suất tiền gửi kỳ hạn 12 tháng của các ngân hàng được chontrong thời gian còn lại",Không,12955594.0,33431580.0,2027.0,,
