row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Chênh lệch tỷ giá hối doái Triệu VND,Quỹ khác thuộc vốn chủ sở hữu Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Chênh lệch tỷ giá hối doái Triệu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,11.746.832,11.084.297,(8.563.690),(226.972),(284.952),2.182.124,15.937.639,9.092.640,25.030.279,11746832.0,11084297.0,-8563690.0,-226972.0,-284952.0,2182124.0,15937639.0,9092640.0,25030279.0
Phát hành cổ phiếu mới Giao dịch với cổ đông không kiểm soát,Phát hành cổ phiếu mới Giao dịch với cổ đông không kiểm soát,Phát hành cổ phiếu mới Giao dịch với cổ đông không kiểm soát,58.515,(50),-,-,-,-,58.465,-,58.465,58515.0,-50.0,,,,,58465.0,,58465.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,9.400.022,9.400.022,1.890.763,11.290.785,,,,,,9400022.0,9400022.0,1890763.0,11290785.0
Lợi nhuận thuần trong năm Cổ tức đã phân phối của Công ty (Thuyết minh 25),Lợi nhuận thuần trong năm Cổ tức đã phân phối của Công ty (Thuyết minh 25),Lợi nhuận thuần trong năm Cổ tức đã phân phối của Công ty (Thuyết minh 25),-,-,-,-,-,-,-,116.553,116.553,,,,,,,,116553.0,116553.0
"Cổ tức đã phân phối của các công ty con Phân bổ vào quỹ khen thưởng, phúc lợi","Cổ tức đã phân phối của các công ty con Phân bổ vào quỹ khen thưởng, phúc lợi","Cổ tức đã phân phối của các công ty con Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,8.562.882,8.562.882,1.538.499,10.101.381,,,,,,8562882.0,8562882.0,1538499.0,10101381.0
"Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế",-,-,-,-,-,(1.416.642),(1.416.642),-,(1.416.642),,,,,,-1416642.0,-1416642.0,,-1416642.0
Ảnh hưởng do ngừng hợp nhất Công ty Cổ phần MNS Feed và các công ty con,Ảnh hưởng do ngừng hợp nhất Công ty Cổ phần MNS Feed và các công ty con,Ảnh hưởng do ngừng hợp nhất Công ty Cổ phần MNS Feed và các công ty con,-,-,-,-,-,-,-,(2.015.242),(2.015.242),,,,,,,,-2015242.0,-2015242.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(112.283),-,-,175.543,(1.012.351),(836.808),,,,-112283.0,,,175543.0,-1012351.0,-836808.0
Khác,Khác,Khác,-,-,-,-,-,70.532,(112.283),(30.767),(143.050),,,,,,70532.0,-112283.0,-30767.0,-143050.0
,,,,,,,,,70.532,(71.174),(642),,,,,,,70532.0,-71174.0,-642.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,11.805.347,11.084.247,(8.388.147),(339.255),(147.087),18.795.877,32.810.982,9.525.670,42.336.652,11805347.0,11084247.0,-8388147.0,-339255.0,-147087.0,18795877.0,32810982.0,9525670.0,42336652.0
