row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2022Triệu VND,1/1/2022Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__1/1/2022Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,36.636.739,42.336.652,400.0,,36636739.0,42336652.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,36.636.739,42.336.652,410.0,22.0,36636739.0,42336652.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,23,14.237.248,11.805.347,411.0,23.0,14237248.0,11805347.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,23,8.723.128,11.084.247,412.0,23.0,8723128.0,11084247.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(8.388.147),(8.388.147),414.0,,-8388147.0,-8388147.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(385.158),(339.255),417.0,,-385158.0,-339255.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,583.625,(147.087),420.0,,583625.0,-147087.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,11.381.940,18.795.877,421.0,,11381940.0,18795877.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,17.656.897,762.441,,,17656897.0,762441.0
- (Lỗ sau thuế năm nay)/lợi nhuận sau thuế chưa phân phối năm trước,- (Lỗ sau thuế năm nay)/lợi nhuận sau thuế chưa phân phối năm trước,- (Lỗ sau thuế năm nay)/lợi nhuận sau thuế chưa phân phối năm trước,421b,,(6.274.957),18.033.436,,,-6274957.0,18033436.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,10.484.103,9.525.670,429.0,,10484103.0,9525670.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,141.342.815,126.093.471,440.0,,141342815.0,126093471.0
