row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng cho chủ đầu tư,Ngắn hạn > Tạm ứng cho chủ đầu tư,Tạm ứng cho chủ đầu tư,1.762.642.935.893,2.131.312.208.172,1762642935893.0,2131312208172.0
Ký quỹ cho các hợp đồng tiếp thị và phân phối dự án bất động sản,Ngắn hạn > Ký quỹ cho các hợp đồng tiếp thị và phân phối dự án bất động sản,Ký quỹ cho các hợp đồng tiếp thị và phân phối dự án bất động sản,2.185.450.000.000,2.185.450.000.000,2185450000000.0,2185450000000.0
Cổ tức,Ngắn hạn > Cổ tức,Cổ tức,40.198.492.515,40.198.492.515,40198492515.0,40198492515.0
Khác,Ngắn hạn > Khác,Khác,32.899.607.871,42.956.476.506,32899607871.0,42956476506.0
,,,4.021.191.036.279,4.399.917.177.193,4021191036279.0,4399917177193.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
"Ký quỹ, ký cược","Dải hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",69.264.000.000,69.264.000.000,69264000000.0,69264000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,4.090.455.036.279,4.469.181.177.193,4090455036279.0,4469181177193.0
Dự phòng phải thu khác,Dải hạn > Dự phòng phải thu khác,Dự phòng phải thu khác,(13.020.619.952),(11.079.911.619),-13020619952.0,-11079911619.0
GIÁ TRỊ THUÀN,Dải hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,4.077.434.416.327,4.458.101.265.574,4077434416327.0,4458101265574.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Bên liên quan (Thuyết minh số 20),Trong đó: > Bên liên quan (Thuyết minh số 20),Bên liên quan (Thuyết minh số 20),4.067.236.384.761,4.446.360.973.836,4067236384761.0,4446360973836.0
Bên khác,Trong đó: > Bên khác,Bên khác,23.218.651.518,22.820.203.357,23218651518.0,22820203357.0
