row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối(lỗ lũy kế),numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.531.223.770.000,804.503.548.710,579.676.923.443,5.915.404.242.153,4531223770000.0,804503548710.0,579676923443.0,5915404242153.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,1.209.807.470.000,(800.000.000.000),(409.807.470.000),-,1209807470000.0,-800000000000.0,-409807470000.0,
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(163.886.170.313),(163.886.170.313),,,-163886170313.0,-163886170313.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(10.335.872.028),(10.335.872.028),,,-10335872028.0,-10335872028.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,5.741.031.240.000,4.503.548.710,(4.352.588.898),5.741.182.199.812,5741031240000.0,4503548710.0,-4352588898.0,5741182199812.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.741.031.240.000,4.503.548.710,(4.352.588.898),5.741.182.199.812,5741031240000.0,4503548710.0,-4352588898.0,5741182199812.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),Năm nay > Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (*),50.000.000.000,-,(50.000.000.000),-,50000000000.0,,-50000000000.0,
Lãi thuần trong năm,Năm nay > Lãi thuần trong năm,Lãi thuần trong năm,-,-,20.378.786.159,20.378.786.159,,,20378786159.0,20378786159.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,(33.973.802.739),5.761.560.985.971,5791031240000.0,4503548710.0,-33973802739.0,5761560985971.0
