row_label_raw,row_label_full,Phải trả người bán ngắn hạn (Thuyết minh 13),Số cuối năm VND > Phải trả người bán ngắn hạn (Thuyết minh 13),Số đầu năm VND > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số cuối năm VND > Phải trả người bán ngắn hạn (Thuyết minh 13),numeric__Số đầu năm VND > Phải trả người bán ngắn hạn (Thuyết minh 13)
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty con > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,432.153.150,585.300.230,432153150.0,585300230.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,653.380.455,192.351.893,653380455.0,192351893.0
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,3.803.477.715,1.195.838.530,3803477715.0,1195838530.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,396.313.930,-,396313930.0,
Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,Bên liên quan khác > Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,Công ty Cổ phần Mía đường Thành Thành Công Tây Ninh,333.250.000,-,333250000.0,
Công ty Cổ phần Thành Thành Nam,Bên liên quan khác > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,24.889.920,,24889920.0,
Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan khác > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,-,1.500.000,,1500000.0
,,,5.643.465.170,1.974.990.653,5643465170.0,1974990653.0
Phải trả ngắn hạn khác (Thuyết minh 15(a)),Phải trả ngắn hạn khác (Thuyết minh 15(a)),Phải trả ngắn hạn khác (Thuyết minh 15(a)),Phải trả ngắn hạn khác (Thuyết minh 15(a)),Phải trả ngắn hạn khác (Thuyết minh 15(a)),,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Đầu tư điện Tây Nguyên,Công ty con > Công ty Cổ phần Đầu tư điện Tây Nguyên,Công ty Cổ phần Đầu tư điện Tây Nguyên,-,36.737.444.778,,36737444778.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty con > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,-,87.148.610,,87148610.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty con > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,-,76.456.615,,76456615.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty con > Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,-,9.000.000,,9000000.0
,,,-,36.910.050.003,,36910050003.0
Phải trả dài hạn khác (Thuyết minh 15(b)),Phải trả dài hạn khác (Thuyết minh 15(b)),Phải trả dài hạn khác (Thuyết minh 15(b)),Phải trả dài hạn khác (Thuyết minh 15(b)),Phải trả dài hạn khác (Thuyết minh 15(b)),,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Đầu tư điện Tây Nguyên,Công ty con > Công ty Cổ phần Đầu tư điện Tây Nguyên,Công ty Cổ phần Đầu tư điện Tây Nguyên,-,177.155.556.544,,177155556544.0
