row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,744.903.390.000,1.980.358.653,18.782.788.567,99.881.148.118,865.547.685.338,744903390000.0,1980358653.0,18782788567.0,99881148118.0,865547685338.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,100.742.866.931,100.742.866.931,,,,100742866931.0,100742866931.0
Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,-,-,4.808.145.726,(4.808.145.726),-,,,4808145726.0,-4808145726.0,
Hoàn nhập quỹ,Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,(2.410.627.497),2.410.627.497,-,,,-2410627497.0,2410627497.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(5.475.727.011),(5.475.727.011),,,,-5475727011.0,-5475727011.0
Chia lợi nhuận cho liên doanh,Chia lợi nhuận cho liên doanh,Chia lợi nhuận cho liên doanh,-,-,-,(16.901.726.735),(16.901.726.735),,,,-16901726735.0,-16901726735.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,744.903.390.000,1.980.358.653,21.180.306.796,175.849.043.074,943.913.098.523,744903390000.0,1980358653.0,21180306796.0,175849043074.0,943913098523.0
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,744.903.390.000,1.980.358.653,21.180.306.796,175.849.043.074,943.913.098.523,744903390000.0,1980358653.0,21180306796.0,175849043074.0,943913098523.0
Chi trả cổ tức bằng cổ phiếu (Thuyết minh 19(c)) (*),Chi trả cổ tức bằng cổ phiếu (Thuyết minh 19(c)) (*),Chi trả cổ tức bằng cổ phiếu (Thuyết minh 19(c)) (*),148.979.850.000,-,-,(148.979.850.000),-,148979850000.0,,,-148979850000.0,
Phát hành cổ phiếu (Thuyết minh 30) (**),Phát hành cổ phiếu (Thuyết minh 30) (**),Phát hành cổ phiếu (Thuyết minh 30) (**),77.029.510.000,26.960.328.500,-,-,103.989.838.500,77029510000.0,26960328500.0,,,103989838500.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,130.706.827.039,130.706.827.039,,,,130706827039.0,130706827039.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.747.506.615,(3.747.506.615),-,,,3747506615.0,-3747506615.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.745.844.358),(6.745.844.358),,,,-6745844358.0,-6745844358.0
Chia lợi nhuận cho liên doanh (***),Chia lợi nhuận cho liên doanh (***),Chia lợi nhuận cho liên doanh (***),-,-,-,(5.789.939.887),(5.789.939.887),,,,-5789939887.0,-5789939887.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,970.912.750.000,28.940.687.153,24.927.813.411,141.292.729.253,1.166.073.979.817,970912750000.0,28940687153.0,24927813411.0,141292729253.0,1166073979817.0
