row_label_raw,row_label_full,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:,138.376.954.059,104.513.545.297,,138376954059.0,104513545297.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",51.362.272.807,50.393.055.950,,51362272807.0,50393055950.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,3.340.015.925,-,,3340015925.0,
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,3.262.665,(218.938),,3262665.0,-218938.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(54.339.738.810),(76.878.804.658),,-54339738810.0,-76878804658.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,16.564.766.574,29.249.647.062,,16564766574.0,29249647062.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,155.307.533.220,107.277.224.713,,155307533220.0,107277224713.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(20.175.222.306),8.461.857.073,,-20175222306.0,8461857073.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Giảm/(tăng) hàng tồn kho,380.245.628,(5.889.495.001),,380245628.0,-5889495001.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Giảm các khoản phải trả,(3.818.317.710),(12.841.412.354),,-3818317710.0,-12841412354.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm chi phí trả trước,1.980.515.753,2.843.427.378,,1980515753.0,2843427378.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(17.330.707.618),(32.880.911.025),,-17330707618.0,-32880911025.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuế thu nhập doanh nghiệp đã nộp,(6.656.970.724),(12.359.855.848),,-6656970724.0,-12359855848.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(7.054.444.440),(636.180.610),,-7054444440.0,-636180610.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,102.632.631.803,53.974.654.326,,102632631803.0,53974654326.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Chi để mua sắm, xây dựng TSCĐ",(37.292.595.627),(14.540.270.620),,-37292595627.0,-14540270620.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"Thu từ thanh lý, nhượng bán TSCĐ",1.523.363.636,170.643.155,,1523363636.0,170643155.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"Chi cho vay, tiền gửi có kỳ hạn",(133.600.000.000),(118.472.052.796),,-133600000000.0,-118472052796.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Thu hồi cho vay, tiền gửi có kỳ hạn",136.989.000.000,198.863.000.000,,136989000000.0,198863000000.0
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Chi đầu tư góp vốn vào đơn vị khác,(33.416.000.000),(12.485.000.000),,-33416000000.0,-12485000000.0
26,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,Thu hồi đầu tư góp vốn vào đơn vị khác,42.944.043.659,39.183.562.000,,42944043659.0,39183562000.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Thu lãi cho vay, cổ tức và lợi nhuận được chia",52.853.647.182,56.389.640.563,,52853647182.0,56389640563.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,30.001.458.850,149.109.522.302,,30001458850.0,149109522302.0
