row_label_raw,row_label_full,col_0,col_1,Mẫu số B 09 – DN,Mẫu số B 09 – DN_1,Mẫu số B 09 – DN_2,Mẫu số B 09 – DN_3,Mẫu số B 09 – DN_4,numeric__col_1,numeric__Mẫu số B 09 – DN,numeric__Mẫu số B 09 – DN_1,numeric__Mẫu số B 09 – DN_2,numeric__Mẫu số B 09 – DN_3,numeric__Mẫu số B 09 – DN_4
17,17,17,CÁC KHOẢN VAY,,,,,,,,,,,
(a),(a),(a),Ngắn hạn,,,,,,,,,,,
,,,,Số đầu nămVND,TăngVND,GiảmVND,Phân loại lạiVND,Số cuối nămVND,,,,,,
,,,Vay ngân hàng,15.300.000.000,73.571.151.173,(88.871.151.173),-,-,,15300000000.0,73571151173.0,-88871151173.0,,
,,,Vay dài hạn đáo hạn trong vòng một năm,21.910.864.061,-,-,(18.086.165.061),3.824.699.000,,21910864061.0,,,-18086165061.0,3824699000.0
,,,,37.210.864.061,73.571.151.173,(88.871.151.173),(18.086.165.061),3.824.699.000,,37210864061.0,73571151173.0,-88871151173.0,-18086165061.0,3824699000.0
(b),(b),(b),Dài hạn,,,,,,,,,,,
,,,,Số đầu nămVND,TăngVND,GiảmVND,Phân loại lạiVND,Số cuối nămVND,,,,,,
,,,Vay ngân hàng,210.598.274.618,20.000.000.000,(65.989.583.251),(6.495.691.367),158.113.000.000,,210598274618.0,20000000000.0,-65989583251.0,-6495691367.0,158113000000.0
,,,Vay khác,775.785.400,-,(551.591.401),-,224.193.999,,775785400.0,,-551591401.0,,224193999.0
,,,Vay dài hạn đáo hạn trong vòng một năm,(21.910.864.061),-,-,18.086.165.061,(3.824.699.000),,-21910864061.0,,,18086165061.0,-3824699000.0
,,,,189.463.195.957,20.000.000.000,(66.541.174.652),11.590.473.694,154.512.494.999,,189463195957.0,20000000000.0,-66541174652.0,11590473694.0,154512494999.0
