row_label_raw,row_label_full,Công ty Cổ phần Thủy điện Gia Lai,27.427.521.211,26.329.255.800,numeric__27.427.521.211,numeric__26.329.255.800
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,9.260.100.431,697.660.718,9260100431.0,697660718.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,434.225.223,1.287.184.371,434225223.0,1287184371.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,1.845.000,32.729.475,1845000.0,32729475.0
Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,Công ty Cổ phần Đầu tư Điện Tây Nguyên,-,18.954.044.200,,18954044200.0
Công ty TNHH Một thành viên Tư Văn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Văn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Văn và Phát triển Năng lượng Gia Lai,317.681.127,778.843.367,317681127.0,778843367.0
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,80.104.604,-,80104604.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Bên liên quan khác > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,327.222.222,-,327222222.0,
Công ty Cổ phần Năng lượng TTC,Bên liên quan khác > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,278.840.248,-,278840248.0,
Công ty Cổ phần Lộc Thổ,Bên liên quan khác > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,275.555.556,-,275555556.0,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,207.648.611,573.500.000,207648611.0,573500000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,5.072.222,-,5072222.0,
,,,38.615.816.455,48.653.217.931,38615816455.0,48653217931.0
