row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập hoạt động cho thuê,Thu nhập khác > Thu nhập hoạt động cho thuê,Thu nhập hoạt động cho thuê,3.151.374.923,3.143.315.826,3151374923.0,3143315826.0
Thanh lý tài sản cố định,Thu nhập khác > Thanh lý tài sản cố định,Thanh lý tài sản cố định,649.651.071,-,649651071.0,
Khác,Thu nhập khác > Khác,Khác,769.305.763,1.916.461.234,769305763.0,1916461234.0
,,,4.570.331.757,5.059.777.060,4570331757.0,5059777060.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Giá vốn hoạt động cho thuê,Chi phí khác > Giá vốn hoạt động cho thuê,Giá vốn hoạt động cho thuê,2.475.810.743,2.455.253.392,2475810743.0,2455253392.0
Xóa số dự án điện gió Bình Đại - Bến Tre,Chi phí khác > Xóa số dự án điện gió Bình Đại - Bến Tre,Xóa số dự án điện gió Bình Đại - Bến Tre,5.874.151.977,-,5874151977.0,
Xóa số dự án điện gió Ninh Thuận,Chi phí khác > Xóa số dự án điện gió Ninh Thuận,Xóa số dự án điện gió Ninh Thuận,1.630.650.942,-,1630650942.0,
Khác,Chi phí khác > Khác,Khác,470.318.228,1.809.402.534,470318228.0,1809402534.0
,,,10.450.931.890,4.264.655.926,10450931890.0,4264655926.0
(Lỗ)/lợi nhuận khác,Chi phí khác > (Lỗ)/lợi nhuận khác,(Lỗ)/lợi nhuận khác,(5.880.600.133),795.121.134,-5880600133.0,795121134.0
