row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Thủy điện Gia Lai,Công ty con > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,3.655.946.000,685.000.000,3655946000.0,685000000.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty con > Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,229.490.374,236.023.271,229490374.0,236023271.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,793.886.408,346.526.505,793886408.0,346526505.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Tổng Công ty Điện lực Miền Trung,Bên liên quan khác > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,37.000.756.536,47.863.163.426,37000756536.0,47863163426.0
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,150.000.000,772.069.000,150000000.0,772069000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,-,1.650.000.000,,1650000000.0
Công ty Cổ phần Đường Biên Hòa,Bên liên quan khác > Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,-,1.742.835.557,,1742835557.0
Công ty TNHH Một thành viên Thành Thành Công Gia Lai,Bên liên quan khác > Công ty TNHH Một thành viên Thành Thành Công Gia Lai,Công ty TNHH Một thành viên Thành Thành Công Gia Lai,-,68.674.568,,68674568.0
,,,41.830.079.318,53.364.292.327,41830079318.0,53364292327.0
