row_label_raw,row_label_full,Bên liên quan (Thuyết minh 29(b)),Số đầu năm VND > Bên liên quan (Thuyết minh 29(b)),Tăng VND > Bên liên quan (Thuyết minh 29(b)),Giảm VND > Bên liên quan (Thuyết minh 29(b)),Số cuối năm VND > Bên liên quan (Thuyết minh 29(b)),numeric__Số đầu năm VND > Bên liên quan (Thuyết minh 29(b)),numeric__Tăng VND > Bên liên quan (Thuyết minh 29(b)),numeric__Giảm VND > Bên liên quan (Thuyết minh 29(b)),numeric__Số cuối năm VND > Bên liên quan (Thuyết minh 29(b))
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,-,61.000.000.000,(23.000.000.000),38.000.000.000,,61000000000.0,-23000000000.0,38000000000.0
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,32.000.000.000,-,32.000.000.000,,32000000000.0,,32000000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (**),Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (**),Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín (**),74.000.000.000,23.500.000.000,(74.000.000.000),23.500.000.000,74000000000.0,23500000000.0,-74000000000.0,23500000000.0
Công ty Cổ phần Sản xuất Thương mại Bao bi Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bi Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bi Thành Thành Công,-,30.000.000.000,(30.000.000.000),-,,30000000000.0,-30000000000.0,
Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,-,500.000.000,(500.000.000),-,,500000000.0,-500000000.0,
Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Công ty TNHH Một thành viên Thủy điện Thượng Lộ,Công ty TNHH Một thành viên Thủy điện Thượng Lộ,5.000.000.000,1.934.000.000,(5.000.000.000),1.934.000.000,5000000000.0,1934000000.0,-5000000000.0,1934000000.0
,,,79.000.000.000,148.934.000.000,(132.500.000.000),95.434.000.000,79000000000.0,148934000000.0,-132500000000.0,95434000000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Bên thứ ba > Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,343.858.552,-,-,343.858.552,343858552.0,,,343858552.0
,,,79.343.858.552,148.934.000.000,(132.500.000.000),95.777.858.552,79343858552.0,148934000000.0,-132500000000.0,95777858552.0
Cho vay dài hạn đáo hạn trong vòng một năm,Bên thứ ba > Cho vay dài hạn đáo hạn trong vòng một năm,Cho vay dài hạn đáo hạn trong vòng một năm,2.823.000.000,-,4.127.000.000,6.950.000.000,2823000000.0,,4127000000.0,6950000000.0
,,,82.166.858.552,148.934.000.000,(128.373.000.000),102.727.858.552,82166858552.0,148934000000.0,-128373000000.0,102727858552.0
