row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc thiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày ngày 1 tháng 1 năm 2017,Tại ngày ngày 1 tháng 1 năm 2017,601.094.804.592,293.218.846.424,118.253.902.526,6.603.564.076,23.902.130.498,1.043.073.248.116,601094804592.0,293218846424.0,118253902526.0,6603564076.0,23902130498.0,1043073248116.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,975.379.102,9.664.921.819,1.932.396.159,139.061.276,12.711.758.356,,975379102.0,9664921819.0,1932396159.0,139061276.0,12711758356.0
Xây dựng cơ bản mới hoàn thành,Nguyên giá > Xây dựng cơ bản mới hoàn thành,Xây dựng cơ bản mới hoàn thành,939.067.176,549.252.126,242.351.125,-,2.477.014.150,4.207.684.577,939067176.0,549252126.0,242351125.0,,2477014150.0,4207684577.0
Tăng do sáp nhập tài sản của TIC,Nguyên giá > Tăng do sáp nhập tài sản của TIC,Tăng do sáp nhập tài sản của TIC,3.133.103.240,2.132.684.368,124.419.372,166.782.831,43.490.000,5.600.479.811,3133103240.0,2132684368.0,124419372.0,166782831.0,43490000.0,5600479811.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.124.263.030),(3.362.665.426),-,-,(4.486.928.456),,-1124263030.0,-3362665426.0,,,-4486928456.0
Góp vốn bằng tài sản,Nguyên giá > Góp vốn bằng tài sản,Góp vốn bằng tài sản,(283.480.126),(93.092.500),-,(47.475.000),-,(424.047.626),-283480126.0,-93092500.0,,-47475000.0,,-424047626.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,604.883.494.882,295.658.806.490,124.922.929.416,8.655.268.066,26.561.695.924,1.060.682.194.778,604883494882.0,295658806490.0,124922929416.0,8655268066.0,26561695924.0,1060682194778.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,125.980.949.589,84.681.588.439,40.844.494.739,1.495.793.386,3.681.021.679,256.683.847.832,125980949589.0,84681588439.0,40844494739.0,1495793386.0,3681021679.0,256683847832.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.558.369.745,15.344.186.903,7.246.341.905,1.016.285.298,2.016.643.204,51.181.827.055,25558369745.0,15344186903.0,7246341905.0,1016285298.0,2016643204.0,51181827055.0
Tăng do sáp nhập tài sản của TIC,Khấu hao lũy kế > Tăng do sáp nhập tài sản của TIC,Tăng do sáp nhập tài sản của TIC,2.226.073.314,1.827.553.130,124.419.372,59.068.915,14.859.091,4.251.973.822,2226073314.0,1827553130.0,124419372.0,59068915.0,14859091.0,4251973822.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.124.263.030),(2.425.169.661),-,-,(3.549.432.691),,-1124263030.0,-2425169661.0,,,-3549432691.0
Góp vốn bằng tài sản,Khấu hao lũy kế > Góp vốn bằng tài sản,Góp vốn bằng tài sản,(212.220.476),(61.784.809),-,(10.311.774),-,(284.317.059),-212220476.0,-61784809.0,,-10311774.0,,-284317059.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,153.553.172.172,100.667.280.633,45.790.086.355,2.560.835.825,5.712.523.974,308.283.898.959,153553172172.0,100667280633.0,45790086355.0,2560835825.0,5712523974.0,308283898959.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,475.113.855.003,208.537.257.985,77.409.407.787,5.107.770.690,20.221.108.819,786.389.400.284,475113855003.0,208537257985.0,77409407787.0,5107770690.0,20221108819.0,786389400284.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,451.330.322.710,194.991.525.857,79.132.843.061,6.094.432.241,20.849.171.950,752.398.295.819,451330322710.0,194991525857.0,79132843061.0,6094432241.0,20849171950.0,752398295819.0
