row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm,numeric__Số cuối năm,numeric__VND > Số đầu năm
Vốn điều lệ đã góp,Vốn điều lệ đã góp,Vốn điều lệ đã góp,152.963.455.026,48.117.163.020,152963455026.0,48117163020.0
Thặng dư vốn,Thặng dư vốn,Thặng dư vốn,20.768.642.586,5.606.847.374,20768642586.0,5606847374.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,(656.280.000),(656.280.000),-656280000.0,-656280000.0
Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,125.693.756,125.693.756,125693756.0,125693756.0
Các quỹ khác thuộc vốn chủ sở hữu,Các quỹ khác thuộc vốn chủ sở hữu,Các quỹ khác thuộc vốn chủ sở hữu,94.403.051,115.376.384,94403051.0,115376384.0
Quỹ đánh giá lại tài sản,Quỹ đánh giá lại tài sản,Quỹ đánh giá lại tài sản,35.638.600.611,-,35638600611.0,
(Lỗ) lợi nhuận chưa phân phối,(Lỗ) lợi nhuận chưa phân phối,(Lỗ) lợi nhuận chưa phân phối,(386.353.118),4.213.685.663,-386353118.0,4213685663.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,208.548.161.912,57.522.486.197,208548161912.0,57522486197.0
,,,Số cuối năm,VND,,
,,,Số cuối năm,Số đầu năm,,
Phần lãi sau khi mua,Phần lãi sau khi mua,Phần lãi sau khi mua,2.344.498.238,7.981.187.098,2344498238.0,7981187098.0
