row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,55.912.148.612,73.283.294.577,(17.371.145.965),20.095.363.829,55912148612.0,73283294577.0,-17371145965.0,20095363829.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,13.755.515.281,11.224.502.008,1.996.893.450,2.000.183.772,13755515281.0,11224502008.0,1996893450.0,2000183772.0
Trợ cấp thời việc Chênh lệch tạm thời chi phí lãi vay,Tài sản thuế thu nhập hoãn lại > Trợ cấp thời việc Chênh lệch tạm thời chi phí lãi vay,Trợ cấp thời việc Chênh lệch tạm thời chi phí lãi vay,372.434.000,438.033.662,(65.599.662),150.024.081,372434000.0,438033662.0,-65599662.0,150024081.0
Lỗ đầu tư vào công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ đầu tư vào công ty con,Lỗ đầu tư vào công ty con,855.047.802,1.876.907.753,(1.021.859.951),1.164.158.128,855047802.0,1876907753.0,-1021859951.0,1164158128.0
,,,29.956.675,-,,,29956675.0,,,
,,,70.925.102.370,86.822.738.000,,,70925102370.0,86822738000.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Lỗ thuế hoãn lại Chênh lệch giá vốn,Thuế thu nhập hoãn lại phải trả > Lỗ thuế hoãn lại Chênh lệch giá vốn,Lỗ thuế hoãn lại Chênh lệch giá vốn,(2.696.372.478),(2.900.657.405),204.284.927,(67.181.790),-2696372478.0,-2900657405.0,204284927.0,-67181790.0
Lỗ thuế hoãn lại Chênh lệch giá vốn,Thuế thu nhập hoãn lại phải trả > Lỗ thuế hoãn lại Chênh lệch giá vốn,Lỗ thuế hoãn lại Chênh lệch giá vốn,(5.224.556.058),(8.220.111.536),2.995.555.478,-,-5224556058.0,-8220111536.0,2995555478.0,
Tăng do hợp nhất công ty con,Thuế thu nhập hoãn lại phải trả > Tăng do hợp nhất công ty con,Tăng do hợp nhất công ty con,(52.635.495.867),-,-,-,-52635495867.0,,,
,,,(60.556.424.403),(11.120.768.941),,,-60556424403.0,-11120768941.0,,
(Chi phí) thu nhập thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > (Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(13.261.871.723),23.342.548.020,,,-13261871723.0,23342548020.0
