row_label_raw,row_label_full,col_0,VNDGiá trị hợp lý ghi nhận tại ngày mua,numeric__VNDGiá trị hợp lý ghi nhận tại ngày mua
Tải sản,Tải sản,Tải sản,Tải sản,
Tiền và các khoản tương đương tiền,Tải sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,47.329.126.559,47329126559.0
Các khoản phải thu,Tải sản > Các khoản phải thu,Các khoản phải thu,12.673.342.900,12673342900.0
Hàng tồn kho,Tải sản > Hàng tồn kho,Hàng tồn kho,355.752.075.021,355752075021.0
Tải sản ngắn hạn khác,Tải sản > Tải sản ngắn hạn khác,Tải sản ngắn hạn khác,426.957.103,426957103.0
Tải sản dài hạn khác,Tải sản > Tải sản dài hạn khác,Tải sản dài hạn khác,1.395.834.735,1395834735.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,79.571.082,79571082.0
Thuế thu nhập hoãn lại phải trả,Nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,44.765.995.867,44765995867.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,138.107.711.731,138107711731.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,234.624.057.638,234624057638.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,(56.309.773.833),-56309773833.0
Lãi từ giao dịch mua giá rê,Nợ phải trả > Lãi từ giao dịch mua giá rê,Lãi từ giao dịch mua giá rê,(32.412.467.088),-32412467088.0
Tổng giá phi hợp nhất kinh doanh đã thanh toán,Nợ phải trả > Tổng giá phi hợp nhất kinh doanh đã thanh toán,Tổng giá phi hợp nhất kinh doanh đã thanh toán,145.901.816.717,145901816717.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,47.329.126.559,47329126559.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(145.901.816.717),-145901816717.0
Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,(98.572.690.158),-98572690158.0
