row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNĐTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNĐTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,43.522.472.312,10.459.934.890,6.078.055.293,4.865.567.354,983.333.846,65.909.363.695,43522472312.0,10459934890.0,6078055293.0,4865567354.0,983333846.0,65909363695.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,30.909.091,-,756.205.000,-,787.114.091,,30909091.0,,756205000.0,,787114091.0
Tăng từ mua công ty con,Nguyên giá: > Tăng từ mua công ty con,Tăng từ mua công ty con,1.010.585.356,148.674.728,-,98.663.673,-,1.257.923.757,1010585356.0,148674728.0,,98663673.0,,1257923757.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(150.000.000),(378.334.020),-,(528.334.020),,,-150000000.0,-378334020.0,,-528334020.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,44.533.057.668,10.639.518.709,5.928.055.293,5.342.102.007,983.333.846,67.426.067.523,44533057668.0,10639518709.0,5928055293.0,5342102007.0,983333846.0,67426067523.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,306.830.109,-,290.753.340,1.245.462.901,-,1.843.046.350,306830109.0,,290753340.0,1245462901.0,,1843046350.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.761.863.785),(4.664.494.922),(3.398.834.632),(2.403.776.214),(983.333.846),(23.212.303.399),-11761863785.0,-4664494922.0,-3398834632.0,-2403776214.0,-983333846.0,-23212303399.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.994.245.565),(1.345.413.655),(1.079.078.301),(458.640.359),-,(4.877.377.880),-1994245565.0,-1345413655.0,-1079078301.0,-458640359.0,,-4877377880.0
Tăng từ mua công ty con,Giá trị khấu hao lũy kế: > Tăng từ mua công ty con,Tăng từ mua công ty con,(1.010.585.356),(148.674.728),-,(98.663.673),-,(1.257.923.757),-1010585356.0,-148674728.0,,-98663673.0,,-1257923757.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,88.916.667,352.539.924,-,441.456.591,,,88916667.0,352539924.0,,441456591.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(14.766.694.706),(6.158.583.305),(4.388.996.266),(2.608.540.322),(983.333.846),(28.906.148.445),-14766694706.0,-6158583305.0,-4388996266.0,-2608540322.0,-983333846.0,-28906148445.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,31.760.608.527,5.795.439.968,2.679.220.661,2.461.791.140,-,42.697.060.296,31760608527.0,5795439968.0,2679220661.0,2461791140.0,,42697060296.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,29.766.362.962,4.480.935.404,1.539.059.027,2.733.561.685,-,38.519.919.078,29766362962.0,4480935404.0,1539059027.0,2733561685.0,,38519919078.0
Trong đó:Tài sản sử dụng để cẩm cố/thếchập (Thuyết minh số 19),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cẩm cố/thếchập (Thuyết minh số 19),Trong đó:Tài sản sử dụng để cẩm cố/thếchập (Thuyết minh số 19),28.852.509.243,-,-,-,-,28.852.509.243,28852509243.0,,,,,28852509243.0
