row_label_raw,row_label_full,Ông Nguyễn Xuân Quang,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Thanh Phong,Ông Trần Thanh Phong,Ông Trần Thanh Phong,Phó Chủ tịch,,,
Ông Lai Voon Hon,Ông Lai Voon Hon,Ông Lai Voon Hon,Thành viên,,,
Ông Bùi Đức Khang,Ông Bùi Đức Khang,Ông Bùi Đức Khang,Thành viên,,,
Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Ông Chad Ryan Ovel,Thành viên,,,
Ông Trịnh Văn Tuấn,Ông Trịnh Văn Tuấn,Ông Trịnh Văn Tuấn,Thành viên,,,
Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Ông Ziang Tony Ngo,Thành viên,,,
Ông Ngian Slew Siong,Ông Ngian Slew Siong,Ông Ngian Slew Siong,Thành viên,bổ nhiệm ngày 25 tháng 4 năm 2015,,
Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Ông Cao Tấn Thạch,Thành viên,bổ nhiệm ngày 25 tháng 4 năm 2015,,
Ông Cao Tấn Bửu,Ông Cao Tấn Bửu,Ông Cao Tấn Bửu,Thành viên,miễn nhiệm ngày 29 tháng 3 năm 2015,,
Ông Đỗ Ngọc Minh,Ông Đỗ Ngọc Minh,Ông Đỗ Ngọc Minh,Thành viên,miễn nhiệm ngày 25 tháng 4 năm 2015,,
