row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,14.458.202.755,65.146.211.201,79.604.413.956,14458202755.0,65146211201.0,79604413956.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(7.540.172.007),(11.682.435.638),(19.222.607.645),-7540172007.0,-11682435638.0,-19222607645.0
Tăng trong năm,Giá trị hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(1.406.879.105),(2.152.202.109),(3.559.081.214),-1406879105.0,-2152202109.0,-3559081214.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(8.947.051.112),(13.834.637.747),(22.781.688.859),-8947051112.0,-13834637747.0,-22781688859.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,6.918.030.748,53.463.775.563,60.381.806.311,6918030748.0,53463775563.0,60381806311.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,5.511.151.643,51.311.573.454,56.822.725.097,5511151643.0,51311573454.0,56822725097.0
Trong đó:Tài sản sử dụng để cẩm cố/théchấp(Thuyết minh số 19),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cẩm cố/théchấp(Thuyết minh số 19),Trong đó:Tài sản sử dụng để cẩm cố/théchấp(Thuyết minh số 19),5.511.151.643,51.311.573.454,56.822.725.097,5511151643.0,51311573454.0,56822725097.0
