row_label_raw,row_label_full,Các bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1) > Công ty TNHH Nam Long - MiPha > ASPL,Môi quan hệ > Phải thu khách hàng (Thuyết minh số 6.1) > Bên liên quan > Bên liên quan đến ngày 10 tháng 9 năm 2015,Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6.1) > Dịch vụ tư vấn quản lý > Thuê văn phòng,Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1) > -,Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1) > 3.216.902.653 > 940.229.192,numeric__Môi quan hệ > Phải thu khách hàng (Thuyết minh số 6.1) > Bên liên quan > Bên liên quan đến ngày 10 tháng 9 năm 2015,numeric__Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 6.1) > Dịch vụ tư vấn quản lý > Thuê văn phòng,numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1) > -,numeric__Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1) > 3.216.902.653 > 940.229.192
Công ty TNHH Đầu Tư Tân Hiệp,Công ty TNHH Đầu Tư Tân Hiệp,Công ty TNHH Đầu Tư Tân Hiệp,Bên liên quan,Bán villa,-,963.489.000,,,,963489000.0
Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bà Nguyễn Thị Bích Ngọc,Bên liên quan,Bán cản hộ,231.750.000,231.750.000,,,231750000.0,231750000.0
Bà Ngô Thị Ngọc Liêu,Bà Ngô Thị Ngọc Liêu,Bà Ngô Thị Ngọc Liêu,Bên liên quan,Bán cản hộ,155.976.987,155.976.987,,,155976987.0,155976987.0
Công ty Cổ phần Thế ký 21,Công ty Cổ phần Thế ký 21,Công ty Cổ phần Thế ký 21,Bên liên quan,Dịch vụ xây dựng,291.361.889,-,,,291361889.0,
,,,,,679.088.876,5.508.347.832,,,679088876.0,5508347832.0
