row_label_raw,row_label_full,Tên đơn vị,Ngành nghề,Tỷ lệ sở hữu (%) > Số cuối năm,Tỷ lệ sở hữu (%) > Số đầu năm,numeric__Ngành nghề,numeric__Tỷ lệ sở hữu (%) > Số cuối năm,numeric__Tỷ lệ sở hữu (%) > Số đầu năm
ASPL(i),ASPL(i),ASPL(i),Xây dựng vàbất động sản,-,45,,,45.0
Công ty TNHH Phát triểnGamuda - Nam Long (ii),Công ty TNHH Phát triểnGamuda - Nam Long (ii),Công ty TNHH Phát triểnGamuda - Nam Long (ii),Bất động sản,30,30,,30.0,30.0
