row_label_raw,row_label_full,col_0,Số lượng cổ phiếu,Tỷ lệ sở hữu (%),Số cuối năm,VND Số đầu năm,numeric__Số lượng cổ phiếu,numeric__Tỷ lệ sở hữu (%),numeric__Số cuối năm,numeric__VND Số đầu năm
Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,,,,
Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,Đầu tư vào các công ty khác,,,,
Nguyên Phúc,Đầu tư vào các công ty khác > Nguyên Phúc,Nguyên Phúc,-,"99,5",-,60.000.000.000,,99.5,,60000000000.0
Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,,,,
Nhà Bắc Trung Nam (*),Công ty Cổ phần Phát triển > Nhà Bắc Trung Nam (*),Nhà Bắc Trung Nam (*),353.330,"7,00",3.533.300.000,3.533.300.000,353330.0,7.0,3533300000.0,3533300000.0
Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,Công ty Đầu tư Tài chính,,,,
Hồng Phát (*),Công ty Đầu tư Tài chính > Hồng Phát (*),Hồng Phát (*),150.000,"1,25",2.409.000.000,2.409.000.000,150000.0,1.25,2409000000.0,2409000000.0
Công ty TNHH Nam Long -Mi Pha,Công ty Đầu tư Tài chính > Công ty TNHH Nam Long -Mi Pha,Công ty TNHH Nam Long -Mi Pha,-,-,-,7.890.104.123,,,,7890104123.0
TỔNG CỘNG,Công ty Đầu tư Tài chính > TỔNG CỘNG,TỔNG CỘNG,,,5.942.300.000,73.832.404.123,,,5942300000.0,73832404123.0
