row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm,ASPL > Giá trị đầu tư > 134.784.000.000,Công ty TNHH Phát triển Gamuda - Nam Long > Giá trị đầu tư > 22.400.000.000,Tổng cộng > Giá trị đầu tư > 157.184.000.000,numeric__ASPL > Giá trị đầu tư > 134.784.000.000,numeric__Công ty TNHH Phát triển Gamuda - Nam Long > Giá trị đầu tư > 22.400.000.000,numeric__Tổng cộng > Giá trị đầu tư > 157.184.000.000
Chuyển thành đầu tư vào công ty con (i),Chuyển thành đầu tư vào công ty con (i),Chuyển thành đầu tư vào công ty con (i),(134.784.000.000),-,(134.784.000.000),-134784000000.0,,-134784000000.0
Số cuối năm,Số cuối năm,Số cuối năm,-,22.400.000.000,22.400.000.000,,22400000000.0,22400000000.0
Phần chia lũy kế lợi nhuận (lỗ),Phần chia lũy kế lợi nhuận (lỗ),Phần chia lũy kế lợi nhuận (lỗ),Phần chia lũy kế lợi nhuận (lỗ),Phần chia lũy kế lợi nhuận (lỗ),Phần chia lũy kế lợi nhuận (lỗ),,,
Số đầu năm,Phần chia lũy kế lợi nhuận (lỗ) > Số đầu năm,Số đầu năm,(1.736.790.649),1.173.283.261,(563.507.388),-1736790649.0,1173283261.0,-563507388.0
Phần chia lợi nhuận trong năm,Phần chia lũy kế lợi nhuận (lỗ) > Phần chia lợi nhuận trong năm,Phần chia lợi nhuận trong năm,-,357.517.873,357.517.873,,357517873.0,357517873.0
Chuyển thành đầu tư vào công ty con (i),Phần chia lũy kế lợi nhuận (lỗ) > Chuyển thành đầu tư vào công ty con (i),Chuyển thành đầu tư vào công ty con (i),1.736.790.649,-,1.736.790.649,1736790649.0,,1736790649.0
Số cuối năm,Phần chia lũy kế lợi nhuận (lỗ) > Số cuối năm,Số cuối năm,-,1.530.801.134,1.530.801.134,,1530801134.0,1530801134.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,133.047.209.351,23.573.283.261,156.620.492.612,133047209351.0,23573283261.0,156620492612.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,23.930.801.134,23.930.801.134,,23930801134.0,23930801134.0
