row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (đã phân loại lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã phân loại lại)
100,100,100,A. TÀI SẢN NGĂN HẠN,,4.699.301.116.653,3.389.263.167.630,,,4699301116653.0,3389263167630.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,423.195.907.688,373.996.538.696,,5.0,423195907688.0,373996538696.0
111,111,111,1. Tiền,,311.195.907.688,304.165.538.696,,,311195907688.0,304165538696.0
112,112,112,2. Các khoản tương đương tiền,,112.000.000.000,69.831.000.000,,,112000000000.0,69831000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,16.636.025.899,16.000.000.000,,,16636025899.0,16000000000.0
123,123,123,1. Đầu tư nằm giữ đến ngày đào hạn,,16.636.025.899,16.000.000.000,,,16636025899.0,16000000000.0
130,130,130,III. Các khoản phải thu ngắn hạn,,516.419.212.557,362.358.015.857,,,516419212557.0,362358015857.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6.1,161.835.378.672,112.102.093.354,,61.0,161835378672.0,112102093354.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6.2,261.657.351.595,95.628.464.017,,62.0,261657351595.0,95628464017.0
136,136,136,3. Phải thu ngắn hạn khác,7,97.863.848.386,159.168.642.421,,7.0,97863848386.0,159168642421.0
137,137,137,4. Dự phòng phải thu ngắn hạn khó đòi,"6, 7",(4.937.366.096),(4.541.183.935),,,-4937366096.0,-4541183935.0
140,140,140,IV. Hàng tồn kho,8,3.673.388.910.652,2.610.299.543.869,,8.0,3673388910652.0,2610299543869.0
141,141,141,1. Hàng tồn kho,,3.673.388.910.652,2.610.299.543.869,,,3673388910652.0,2610299543869.0
150,150,150,V. Tài sản ngắn hạn khác,,69.661.059.857,26.609.069.208,,,69661059857.0,26609069208.0
151,151,151,1. Chi phí trả trước ngắn hạn,9,11.417.452.846,4.187.409.407,,9.0,11417452846.0,4187409407.0
152,152,152,2. Thuế GTGT được khấu trừ,,52.438.921.019,19.167.324.406,,,52438921019.0,19167324406.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,,5.804.685.992,3.254.335.395,,,5804685992.0,3254335395.0
