row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (đã phân loại lai),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã phân loại lai)
200,200,200,B. TÀI SẢN DÀI HẠN,,322.717.058.314,540.157.787.333,,,322717058314.0,540157787333.0
210,210,210,I. Các khoản phải thu dài hạn,,85.684.209.409,66.058.606.385,,,85684209409.0,66058606385.0
211,211,211,1. Phải thu dài hạn của khách hàng,6.1,900.551.000,1.622.863.000,,61.0,900551000.0,1622863000.0
216,216,216,2. Phải thu dài hạn khác,7,84.783.658.409,64.435.743.385,,7.0,84783658409.0,64435743385.0
220,220,220,II. Tài sản cố định,,50.178.439.885,54.124.909.228,,,50178439885.0,54124909228.0
221,221,221,1. Tài sản cố định hữu hình,10,38.519.919.078,42.697.060.296,,10.0,38519919078.0,42697060296.0
222,222,222,Nguyên giá,,67.426.067.523,65.909.363.695,,,67426067523.0,65909363695.0
223,223,223,Giá trị khấu hao lũy kế,,(28.906.148.445),(23.212.303.399),,,-28906148445.0,-23212303399.0
227,227,227,2. Tài sản cố định vô hình,11,11.658.520.807,11.427.848.932,,11.0,11658520807.0,11427848932.0
228,228,228,Nguyên giá,,15.733.694.202,14.804.740.202,,,15733694202.0,14804740202.0
229,229,229,Giá trị hao mòn lũy kế,,(4.075.173.395),(3.376.891.270),,,-4075173395.0,-3376891270.0
230,230,230,III. Bất động sản đầu tư,12,56.822.725.097,60.381.806.311,,12.0,56822725097.0,60381806311.0
231,231,231,1. Nguyên giá,,79.604.413.956,79.604.413.956,,,79604413956.0,79604413956.0
232,232,232,2. Giá trị hao mòn lũy kế,,(22.781.688.859),(19.222.607.645),,,-22781688859.0,-19222607645.0
240,240,240,IV. Tài sản dở dang dài hạn,,262.801.148,418.272.727,,,262801148.0,418272727.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,,262.801.148,418.272.727,,,262801148.0,418272727.0
250,250,250,V. Đầu tư tài chính dài hạn,,29.680.999.956,229.732.026.256,,,29680999956.0,229732026256.0
252,252,252,1. Đầu tư vào công ty liên kết và công ty liên doanh,"13.1, 13.2",24.198.842.309,157.048.625.821,,,24198842309.0,157048625821.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,13.3,5.942.300.000,73.832.404.123,,133.0,5942300000.0,73832404123.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,,(460.142.353),(1.149.003.688),,,-460142353.0,-1149003688.0
260,260,260,VI. Tài sản dài hạn khác,,100.087.882.819,129.442.166.426,,,100087882819.0,129442166426.0
261,261,261,1. Chi phí trả trước dài hạn,9,10.161.449.598,18.321.653.842,,9.0,10161449598.0,18321653842.0
262,262,262,2. Tài sản thuê thu nhập hoãn lại,27.3,70.925.102.370,86.822.738.000,,273.0,70925102370.0,86822738000.0
269,269,269,3. Lợi thể thương mại,14,19.001.330.851,24.297.774.584,,14.0,19001330851.0,24297774584.0
270,270,270,TỔNG CỘNG TÀI SẢN,,5.022.018.174.967,3.929.420.954.963,,,5022018174967.0,3929420954963.0
