row_label_raw,row_label_full,Đầu tư vào công ty liên kết (Thuyết minh số 13.1) > Đầu tư vào công ty liên doanh (Thuyết minh số 13.2) > Đầu tư dài hạn khác (Thuyết minh số 13.3),Số cuối năm > 268.041.175 > 23.930.801.134 > 5.942.300.000,VND > Số đầu năm(dã phân loại lại –Thuyết minh số 31) > 428.133.209 > 156.620.492.612 > 73.832.404.123,numeric__Số cuối năm > 268.041.175 > 23.930.801.134 > 5.942.300.000,numeric__VND > Số đầu năm(dã phân loại lại –Thuyết minh số 31) > 428.133.209 > 156.620.492.612 > 73.832.404.123
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(460.142.353),(1.149.003.688),-460142353.0,-1149003688.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,29.680.999.956,229.732.026.256,29680999956.0,229732026256.0
