row_label_raw,row_label_full,Mã sơ,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (đã phân loại lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (đã phân loại lại)
300,300,300,C. NỘ PHẢI TRẢ,,2.595.523.472.612,1.938.207.790.008,,,2595523472612.0,1938207790008.0
310,310,310,I. Nợ ngắn hạn,,2.101.740.888.702,1.475.646.981.627,,,2101740888702.0,1475646981627.0
311,311,311,1. Phải trả người bán ngắn hạn,15.1,198.261.908.912,99.904.616.402,,151.0,198261908912.0,99904616402.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,15.2,998.895.163.496,593.860.272.681,,152.0,998895163496.0,593860272681.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,16,127.893.160.997,98.553.670.800,,16.0,127893160997.0,98553670800.0
314,314,314,4. Phải trả người lao động,,27.917.490.446,17.748.515.869,,,27917490446.0,17748515869.0
315,315,315,5. Chi phí phải trả ngắn hạn,17,231.850.184.841,164.412.653.166,,17.0,231850184841.0,164412653166.0
319,319,319,6. Phải trả ngắn hạn khác,18,284.741.797.335,307.383.101.067,,18.0,284741797335.0,307383101067.0
320,320,320,7. Vay ngắn hạn,19,224.500.478.171,180.196.259.931,,19.0,224500478171.0,180196259931.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",20,7.680.704.504,13.587.891.711,,20.0,7680704504.0,13587891711.0
330,330,330,II. Nợ dài hạn,,493.782.583.910,462.560.808.381,,,493782583910.0,462560808381.0
337,337,337,1. Phải trả dài hạn khác,18,20.230.418.602,13.158.883.440,,18.0,20230418602.0,13158883440.0
338,338,338,2. Vay và nợ dài hạn,19,412.995.740.905,438.281.156.000,,19.0,412995740905.0,438281156000.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,27.3,60.556.424.403,11.120.768.941,,273.0,60556424403.0,11120768941.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.426.494.702.355,1.991.213.164.955,,,2426494702355.0,1991213164955.0
410,410,410,I. Vốn chủ sở hữu,,2.426.494.702.355,1.991.213.164.955,,,2426494702355.0,1991213164955.0
411,411,411,1. Vốn cổ phần,21.1,1.415.721.570.000,1.339.692.790.000,,211.0,1415721570000.0,1339692790000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.415.721.570.000,1.339.692.790.000,,,1415721570000.0,1339692790000.0
412,412,412,2. Thắng dư vốn cổ phần,21.1,492.337.147.061,422.792.104.687,,211.0,492337147061.0,422792104687.0
415,415,415,3. Cổ phiếu quỹ,21.1,(60.464.200.000),(60.464.200.000),,211.0,-60464200000.0,-60464200000.0
418,418,418,4. Quỹ đầu tư phát triển,21.1,10.929.726.999,10.929.726.999,,211.0,10929726999.0,10929726999.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,21.1,1.115.488.341,1.827.848.341,,211.0,1115488341.0,1827848341.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,21.1,358.306.808.042,218.912.408.731,,211.0,358306808042.0,218912408731.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,173.481.865.767,198.919.065.715,,,173481865767.0,198919065715.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,184.824.942.275,19.993.343.016,,,184824942275.0,19993343016.0
429,429,429,7. Lợi ích cổ đông không kiểm soát,22,208.548.161.912,57.522.486.197,,22.0,208548161912.0,57522486197.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,5.022.016.174.967,3.929.420.954.963,,,5022016174967.0,3929420954963.0
