row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mạiCổ phần Phương Đông > Ngân hàng Thương mạiChinatrust,Ngày 31 tháng12 năm 2015VND > 150.000.000.000 > 12.600.000.000,Kỳ hạn trả gốc và lãi > Từ ngày 12 tháng 10năm 2017 đến ngày 12tháng 10 năm 2022 > Ngày 13 tháng 12năm 2017,Mục đích vay > Đầu tư mua bấtđộng sân dự án > Hỗ trợ nhu cầuvốn lưu động,"Lãi suất(%/năm) > 9,5 > 7,8","Hình thức đảm bảo > Quyền sử dụng đất của dự án HoàngNam tại Phường An Lạc, Quận Bình Tân,Thành phố Hồ Chí Minh. > Tầng 1, 7, 8, 9, 10, 11, 12, tầng hầm, tầnglừng, và tầng thương của Tòa nhà Vănphòng Nam Long tại Lô Cr 3-4 - Cr 3-5,Khu A, Phú Mỹ Hưng, Phường Tân Phú,Quận 7, Thành phố Hồ Chí Minh(Thuyết minh số 12).",numeric__Ngày 31 tháng12 năm 2015VND > 150.000.000.000 > 12.600.000.000,numeric__Kỳ hạn trả gốc và lãi > Từ ngày 12 tháng 10năm 2017 đến ngày 12tháng 10 năm 2022 > Ngày 13 tháng 12năm 2017,numeric__Mục đích vay > Đầu tư mua bấtđộng sân dự án > Hỗ trợ nhu cầuvốn lưu động,"numeric__Lãi suất(%/năm) > 9,5 > 7,8","numeric__Hình thức đảm bảo > Quyền sử dụng đất của dự án HoàngNam tại Phường An Lạc, Quận Bình Tân,Thành phố Hồ Chí Minh. > Tầng 1, 7, 8, 9, 10, 11, 12, tầng hầm, tầnglừng, và tầng thương của Tòa nhà Vănphòng Nam Long tại Lô Cr 3-4 - Cr 3-5,Khu A, Phú Mỹ Hưng, Phường Tân Phú,Quận 7, Thành phố Hồ Chí Minh(Thuyết minh số 12)."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,279.870.745.000,,,,,279870745000.0,,,,
Trong đó:- Vay dài hạn đếnhạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đếnhạn trả- Vay dài hạn,Trong đó:- Vay dài hạn đếnhạn trả- Vay dài hạn,37.722.000.000242.148.745.000,,,,,3.7722000000242147e+22,,,,
