row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (đã phân loại lại – thuyết minh số 31),numeric__Số cuối năm,numeric__VND Số đầu năm (đã phân loại lại – thuyết minh số 31)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu khác từ bên thứ ba,Ngắn hạn > Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,95.863.885.077,85.864.793.556,95863885077.0,85864793556.0
Tạm ứng đi đến bù,Ngắn hạn > Tạm ứng đi đến bù,Tạm ứng đi đến bù,29.564.479.516,34.660.062.186,29564479516.0,34660062186.0
Tạm nộp thuế TNDN theo tiến độ thanh toán của khách hàng,Ngắn hạn > Tạm nộp thuế TNDN theo tiến độ thanh toán của khách hàng,Tạm nộp thuế TNDN theo tiến độ thanh toán của khách hàng,10.812.576.880,12.019.634.653,10812576880.0,12019634653.0
Phải thu khác liên quan dự án,Ngắn hạn > Phải thu khác liên quan dự án,Phải thu khác liên quan dự án,12.159.465.000,1.737.500.000,12159465000.0,1737500000.0
Ứng trước để mua quyền sở hữu trong đơn vị khác,Ngắn hạn > Ứng trước để mua quyền sở hữu trong đơn vị khác,Ứng trước để mua quyền sở hữu trong đơn vị khác,-,22.170.000.000,,22170000000.0
Ký quỹ,Ngắn hạn > Ký quỹ,Ký quỹ,18.841.428.377,-,18841428377.0,
Khác,Ngắn hạn > Khác,Khác,24.485.935.304,15.277.596.717,24485935304.0,15277596717.0
Phải thu khác từ các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải thu khác từ các bên liên quan (Thuyết minh số 28),Phải thu khác từ các bên liên quan (Thuyết minh số 28),1.999.963.309,73.303.848.865,1999963309.0,73303848865.0
,,,97.863.848.386,159.168.642.421,97863848386.0,159168642421.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tạm ứng nhân viên,Dài hạn > Tạm ứng nhân viên,Tạm ứng nhân viên,5.849.160.729,4.185.921.334,5849160729.0,4185921334.0
"Đầu tư vào Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"")","Dài hạn > Đầu tư vào Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"")","Đầu tư vào Hợp đồng Hợp tác Kinh doanh (""HĐHTKD"")",78.934.497.680,60.249.822.051,78934497680.0,60249822051.0
Dự án 9B7 (i),Dài hạn > Dự án 9B7 (i),Dự án 9B7 (i),77.261.640.900,58.576.965.271,77261640900.0,58576965271.0
Dự án Tân Thuận Đông,Dài hạn > Dự án Tân Thuận Đông,Dự án Tân Thuận Đông,1.392.889.780,1.392.889.780,1392889780.0,1392889780.0
Nhà hàng Đối Gió,Dài hạn > Nhà hàng Đối Gió,Nhà hàng Đối Gió,279.967.000,279.967.000,279967000.0,279967000.0
,,,84.783.658.409,64.435.743.385,84783658409.0,64435743385.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,182.647.506.795,223.604.385.806,182647506795.0,223604385806.0
Dự phòng phải thu ngắn hạn khó đòi,Dài hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(4.823.235.536),(4.048.551.482),-4823235536.0,-4048551482.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,177.824.271.259,219.555.834.324,177824271259.0,219555834324.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên liên quan (Thuyết minh số 28),Trong đó: > Phải thu khác từ các bên liên quan (Thuyết minh số 28),Phải thu khác từ các bên liên quan (Thuyết minh số 28),1.999.963.309,73.303.848.865,1999963309.0,73303848865.0
Phải thu khác từ bên thứ ba,Trong đó: > Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,175.824.307.950,146.251.985.459,175824307950.0,146251985459.0
