row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNĐTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNĐTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,955.135.230.000,141.619.520.052,(18.359.590.000),9.253.629.249,3.459.190.799,198.919.065.715,1.290.027.045.815,955135230000.0,141619520052.0,-18359590000.0,9253629249.0,3459190799.0,198919065715.0,1290027045815.0
Tăng do phát hànhcổ phiếu,Năm trước > Tăng do phát hànhcổ phiếu,Tăng do phát hànhcổ phiếu,255.000.000.000,178.430.536.635,-,-,-,-,433.430.536.635,255000000000.0,178430536635.0,,,,,433430536635.0
Phát hành cổ phiếuđể hoán đổi,Năm trước > Phát hành cổ phiếuđể hoán đổi,Phát hành cổ phiếuđể hoán đổi,129.557.560.000,102.742.048.000,(42.104.610.000),-,-,-,190.194.998.000,129557560000.0,102742048000.0,-42104610000.0,,,,190194998000.0
Lợi nhuận thuàntrong năm,Năm trước > Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,-,95.572.700.860,95.572.700.860,,,,,,95572700860.0,95572700860.0
Trả cổ tức,Năm trước > Trả cổ tức,Trả cổ tức,-,-,-,-,-,(58.623.580.674),(58.623.580.674),,,,,,-58623580674.0,-58623580674.0
Trích lập quỹ,Năm trước > Trích lập quỹ,Trích lập quỹ,-,-,-,1.676.097.750,-,(16.955.777.170),(15.279.679.420),,,,1676097750.0,,-16955777170.0,-15279679420.0
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(1.631.342.458),-,(1.631.342.458),,,,,-1631342458.0,,-1631342458.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.339.692.790.000,422.792.104.687,(60.464.200.000),10.929.726.999,1.827.848.341,218.912.408.731,1.933.690.678.758,1339692790000.0,422792104687.0,-60464200000.0,10929726999.0,1827848341.0,218912408731.0,1933690678758.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.339.692.790.000,422.792.104.687,(60.464.200.000),10.929.726.999,1.827.848.341,218.912.408.731,1.933.690.678.758,1339692790000.0,422792104687.0,-60464200000.0,10929726999.0,1827848341.0,218912408731.0,1933690678758.0
Tăng do phát hànhcổ phiếu (*),Năm nay > Tăng do phát hànhcổ phiếu (*),Tăng do phát hànhcổ phiếu (*),76.028.780.000,69.545.042.374,-,-,-,-,145.573.822.374,76028780000.0,69545042374.0,,,,,145573822374.0
Lợi nhuận sau thuế,Năm nay > Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,206.244.169.156,206.244.169.156,,,,,,206244169156.0,206244169156.0
Trả cổ tức,Năm nay > Trả cổ tức,Trả cổ tức,-,-,-,-,-,(60.071.816.382),(60.071.816.382),,,,,,-60071816382.0,-60071816382.0
Trích lập quỹ,Năm nay > Trích lập quỹ,Trích lập quỹ,-,-,-,-,-,(10.040.407.661),(10.040.407.661),,,,,,-10040407661.0,-10040407661.0
Sử dụng quỹ,Năm nay > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(712.360.000),-,(712.360.000),,,,,-712360000.0,,-712360000.0
Tăng khác (Thuyếtminh số 4.2 và 4.3),Năm nay > Tăng khác (Thuyếtminh số 4.2 và 4.3),Tăng khác (Thuyếtminh số 4.2 và 4.3),-,-,-,-,-,3.262.454.198,3.262.454.198,,,,,,3262454198.0,3262454198.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.415.721.570.000,492.337.147.061,(60.464.200.000),10.929.726.999,1.115.488.341,358.306.808.042,2.217.946.540.443,1415721570000.0,492337147061.0,-60464200000.0,10929726999.0,1115488341.0,358306808042.0,2217946540443.0
