row_label_raw,row_label_full,Các bên liên quan > Phải thu khác(Thuyết minh số 7) > Công ty TNHH Nam Long - MiPha > Nam Phan > ASPL,Mối quan hệ > Phải thu khác(Thuyết minh số 7) > Bên liên quan > Bên liên quan đến ngày 2 tháng 2 năm 2015 > Bên liên quan đến ngày 10 tháng 9 năm 2015,Nội dung nghiệp vụ > Phải thu khác(Thuyết minh số 7) > Ứng trước > Thu hồi vốn góp HĐHTKD > Chi trả hộ Ứng trước,Số cuối năm > Phải thu khác(Thuyết minh số 7) > -,Số đầu năm > Phải thu khác(Thuyết minh số 7) > 505.668.846 > 57.702.732.804 > 113.404.095 1.632.043.120,numeric__Mối quan hệ > Phải thu khác(Thuyết minh số 7) > Bên liên quan > Bên liên quan đến ngày 2 tháng 2 năm 2015 > Bên liên quan đến ngày 10 tháng 9 năm 2015,numeric__Nội dung nghiệp vụ > Phải thu khác(Thuyết minh số 7) > Ứng trước > Thu hồi vốn góp HĐHTKD > Chi trả hộ Ứng trước,numeric__Số cuối năm > Phải thu khác(Thuyết minh số 7) > -,numeric__Số đầu năm > Phải thu khác(Thuyết minh số 7) > 505.668.846 > 57.702.732.804 > 113.404.095 1.632.043.120
Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Ứng tiền mua quyền sở hữu trong một doanh nghiệp,1.999.963.309,13.350.000.000,,,1999963309.0,13350000000.0
,,,,,1.999.963.309,73.303.848.865,,,1999963309.0,73303848865.0
Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),Phải trả khách hàng(Thuyết minh số 15.1),,,,
Bà Nguyễn Thị Ngọc Lan,Phải trả khách hàng(Thuyết minh số 15.1) > Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Mua đất,4.552.800.000,4.552.800.000,,,4552800000.0,4552800000.0
Ông Nguyễn Xuân Quang,Phải trả khách hàng(Thuyết minh số 15.1) > Ông Nguyễn Xuân Quang,Ông Nguyễn Xuân Quang,Chủ tịch,Mua đất,3.165.600.000,3.165.600.000,,,3165600000.0,3165600000.0
,,,,,7.718.400.000,7.718.400.000,,,7718400000.0,7718400000.0
Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),Người mua trả tiền trước(Thuyết minh số 15.2),,,,
Nguyên Phúc,Người mua trả tiền trước(Thuyết minh số 15.2) > Nguyên Phúc,Nguyên Phúc,Bên liên quan đến ngày 24 tháng 11 năm 2015,Ứng trước phí quản lý - dự án Đỗ Xuân Hợp,-,8.500.000.000,,,,8500000000.0
Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),Phải trả khác(Thuyết minh số 18),,,,
Bà Vũ Bích Lan,Phải trả khác(Thuyết minh số 18) > Bà Vũ Bích Lan,Bà Vũ Bích Lan,Bên liên quan,Ứng trước,7.008.800.000,4.538.000.000,,,7008800000.0,4538000000.0
Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),Vay ngắn hạn(Thuyết minh số 19.1),,,,
Bà Nguyễn Thị Phúc Nguyên,Vay ngắn hạn(Thuyết minh số 19.1) > Bà Nguyễn Thị Phúc Nguyên,Bà Nguyễn Thị Phúc Nguyên,Bên liên quan,Vay,4.692.821.000,3.854.955.000,,,4692821000.0,3854955000.0
Bà Nguyễn Thị Ngọc Lan,Vay ngắn hạn(Thuyết minh số 19.1) > Bà Nguyễn Thị Ngọc Lan,Bà Nguyễn Thị Ngọc Lan,Bên liên quan,Vay,-,1.000.000.000,,,,1000000000.0
,,,,,4.692.821.000,4.854.955.000,,,4692821000.0,4854955000.0
