row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,363.131,320.296,208.414,92.705,26.885,1.011.431,363131.0,320296.0,208414.0,92705.0,26885.0,1011431.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,34.390,64.153,30.876,3.773,12.662,145.854,34390.0,64153.0,30876.0,3773.0,12662.0,145854.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.265),(972),(7.092),(5.901),(1.848),(18.078),-2265.0,-972.0,-7092.0,-5901.0,-1848.0,-18078.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,898,206,114,210,-,1.428,898.0,206.0,114.0,210.0,,1428.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,396.154,383.683,232.312,90.787,37.699,1.140.635,396154.0,383683.0,232312.0,90787.0,37699.0,1140635.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,90.347,250.441,136.584,84.611,24.024,586.007,90347.0,250441.0,136584.0,84611.0,24024.0,586007.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,21.546,36.705,18.754,3.662,4.478,85.145,21546.0,36705.0,18754.0,3662.0,4478.0,85145.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.906),(971),(6.908),(5.364),(1.833),(16.982),-1906.0,-971.0,-6908.0,-5364.0,-1833.0,-16982.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,423,139,84,145,-,791,423.0,139.0,84.0,145.0,,791.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,110.410,286.314,148.514,83.054,26.669,654.961,110410.0,286314.0,148514.0,83054.0,26669.0,654961.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,272.784,69.855,71.830,8.094,2.861,425.424,272784.0,69855.0,71830.0,8094.0,2861.0,425424.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,285.744,97.369,83.798,7.733,11.030,485.674,285744.0,97369.0,83798.0,7733.0,11030.0,485674.0
