row_label_raw,row_label_full,col_0,2018Triệu VND,2017Triệu VND,numeric__2018Triệu VND,numeric__2017Triệu VND
Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,,
Dịch vụ thanh toán và tiền mặt,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ thanh toán và tiền mặt,Dịch vụ thanh toán và tiền mặt,265.512,191.422,265512.0,191422.0
Dịch vụ ngân quỹ,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,21.489,16.011,21489.0,16011.0
Dịch vụ đại lý,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ đại lý,Dịch vụ đại lý,165.319,1.242.838,165319.0,1242838.0
Dịch vụ tư vấn,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ tư vấn,Dịch vụ tư vấn,125.934,-,125934.0,
Dịch vụ khác,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ khác,Dịch vụ khác,244.735,75.899,244735.0,75899.0
,,,822.989,1.526.170,822989.0,1526170.0
Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,,
Dịch vụ tư vấn,Chi phí hoạt động dịch vụ cho > Dịch vụ tư vấn,Dịch vụ tư vấn,14.993,-,14993.0,
Dịch vụ thanh toán và tiền mặt,Chi phí hoạt động dịch vụ cho > Dịch vụ thanh toán và tiền mặt,Dịch vụ thanh toán và tiền mặt,48.763,25.930,48763.0,25930.0
Cước phí bưu điện về mạng viễn thông,Chi phí hoạt động dịch vụ cho > Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,22.458,18.539,22458.0,18539.0
Dịch vụ ngân quỹ,Chi phí hoạt động dịch vụ cho > Dịch vụ ngân quỹ,Dịch vụ ngân quỹ,14.912,10.179,14912.0,10179.0
Dịch vụ khác,Chi phí hoạt động dịch vụ cho > Dịch vụ khác,Dịch vụ khác,7.921,14.657,7921.0,14657.0
,,,109.047,69.305,109047.0,69305.0
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ cho > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,713.942,1.456.865,713942.0,1456865.0
