row_label_raw,row_label_full,col_0,Dự phòng rủi ro trái phiếu VAMC (*),Dự phòng rủi ro trái phiếu giữ đến ngày đáo hạn khác,Tổng,numeric__Dự phòng rủi ro trái phiếu VAMC (*),numeric__Dự phòng rủi ro trái phiếu giữ đến ngày đáo hạn khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.602.984,14.358,1.617.342,1602984.0,14358.0,1617342.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,477.168,51.091,528.259,477168.0,51091.0,528259.0
Dự phòng hoàn nhập trong năm do tất toán trái phiếu,Dự phòng hoàn nhập trong năm do tất toán trái phiếu,Dự phòng hoàn nhập trong năm do tất toán trái phiếu,(409.454),-,(409.454),-409454.0,,-409454.0
,,,1.670.698,65.449,1.736.147,1670698.0,65449.0,1736147.0
