row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,1.014.234,118.504,263.960,49.850,1.446.548,1014234.0,118504.0,263960.0,49850.0,1446548.0
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,2.961.064,3.736,6.159,771.700,3.742.659,2961064.0,3736.0,6159.0,771700.0,3742659.0
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,32.482.469,1.441,613,1.028.993,33.513.516,32482469.0,1441.0,613.0,1028993.0,33513516.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.050,-,-,-,1.050,1050.0,,,,1050.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,136.265,-,-,-,136.265,136265.0,,,,136265.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,139.157.737,17.376.168,33.246.647,5.660.999,195.441.551,139157737.0,17376168.0,33246647.0,5660999.0,195441551.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,21.206.594,-,-,1.370,21.207.964,21206594.0,,,1370.0,21207964.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",215.465,-,-,-,215.465,215465.0,,,,215465.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,3.887.117,15.405,28.600,21.195,3.952.317,3887117.0,15405.0,28600.0,21195.0,3952317.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,23.584.928,228.476,1.771.415,767.927,26.352.746,23584928.0,228476.0,1771415.0,767927.0,26352746.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,224.646.923,17.743.730,35.317.394,8.302.034,286.010.081,224646923.0,17743730.0,35317394.0,8302034.0,286010081.0
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,2.758.343,-,-,-,2.758.343,2758343.0,,,,2758343.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,52.614.651,543,38,385.187,53.000.419,52614651.0,543.0,38.0,385187.0,53000419.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,146.056.773,13.740.270,34.382.130,710.597,194.889.770,146056773.0,13740270.0,34382130.0,710597.0,194889770.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",1.064.161,-,-,-,1.064.161,1064161.0,,,,1064161.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,12.291.520,2.654.299,21.450,-,14.967.269,12291520.0,2654299.0,21450.0,,14967269.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,3.745.073,274.427,550.107,69.292,4.638.899,3745073.0,274427.0,550107.0,69292.0,4638899.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,218.530.521,16.669.539,34.953.725,1.165.076,271.318.861,218530521.0,16669539.0,34953725.0,1165076.0,271318861.0
