row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,5,1.884.822,1.446.548,,5.0,1884822.0,1446548.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,4.328.739,3.742.659,,6.0,4328739.0,3742659.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,29.300.327,33.513.516,,7.0,29300327.0,33513516.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,29.300.327,27.859.510,,,29300327.0,27859510.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,-,5.654.006,,,,5654006.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,655,1.050,,8.0,655.0,1050.0
1,A > 1,1,Chứng khoán kinh doanh,,3.889,3.889,,,3889.0,3889.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(3.234),(2.839),,,-3234.0,-2839.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,58.228,136.265,,9.0,58228.0,136265.0
VI,A > VI,VI,Cho vay khách hàng,,213.986.652,195.441.551,,,213986652.0,195441551.0
1,A > 1,1,Cho vay khách hàng,10,216.988.881,198.290.566,,10.0,216988881.0,198290566.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(3.002.229),(2.849.015),,11.0,-3002229.0,-2849015.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,48.026.925,21.207.964,,,48026925.0,21207964.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,12,25.193.006,12.268.348,,12.0,25193006.0,12268348.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,12,24.761.139,10.682.862,,12.0,24761139.0,10682862.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,13,(1.927.220),(1.743.246),,13.0,-1927220.0,-1743246.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",14,195.767,215.465,,14.0,195767.0,215465.0
4,A > 4,4,Đầu tư dài hạn khác,,201.750,227.250,,,201750.0,227250.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(5.983),(11.785),,,-5983.0,-11785.0
X,A > X,X,Tài sản cố định,,4.792.434,3.952.317,,,4792434.0,3952317.0
1,A > 1,1,Tài sản cố định hữu hình,15,485.674,425.424,,15.0,485674.0,425424.0
a,A > a,a,Nguyên giá,,1.140.635,1.011.431,,,1140635.0,1011431.0
b,A > b,b,Giá trị hao mòn lũy kế,,(654.961),(586.007),,,-654961.0,-586007.0
3,A > 3,3,Tài sản cố định vô hình,16,4.306.760,3.526.893,,16.0,4306760.0,3526893.0
a,A > a,a,Nguyên giá,,4.544.660,3.738.489,,,4544660.0,3738489.0
b,A > b,b,Giá trị hao mòn lũy kế,,(237.900),(211.596),,,-237900.0,-211596.0
XII,A > XII,XII,Tài sản Có khác,17,20.701.459,26.352.746,,17.0,20701459.0,26352746.0
1,A > 1,1,Các khoản phải thu,,7.980.896,13.411.455,,,7980896.0,13411455.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,9.117.746,7.955.903,,,9117746.0,7955903.0
4,A > 4,4,Tài sản Có khác,,4.256.033,5.395.762,,,4256033.0,5395762.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(653.216),(410.374),,,-653216.0,-410374.0
,,,TỔNG TÀI SẢN,,323.276.008,286.010.081,,,323276008.0,286010081.0
