row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,1.393.986,312.010,120.785,58.041,1.884.822,1393986.0,312010.0,120785.0,58041.0,1884822.0
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,3.309.766,3.751,7.336,1.007.886,4.328.739,3309766.0,3751.0,7336.0,1007886.0,4328739.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,27.720.267,2.118,1.295,1.576.647,29.300.327,27720267.0,2118.0,1295.0,1576647.0,29300327.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,655,-,-,-,655,655.0,,,,655.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,58.228,-,-,-,58.228,58228.0,,,,58228.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,152.993.732,35.823.078,17.593.353,7.576.489,213.986.652,152993732.0,35823078.0,17593353.0,7576489.0,213986652.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,48.026.925,-,-,-,48.026.925,48026925.0,,,,48026925.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",195.767,-,-,-,195.767,195767.0,,,,195767.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.704.915,45.207,20.600,21.712,4.792.434,4704915.0,45207.0,20600.0,21712.0,4792434.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,13.277.218,6.178.594,1.124.881,120.766,20.701.459,13277218.0,6178594.0,1124881.0,120766.0,20701459.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,251.681.459,42.364.758,18.868.250,10.361.541,323.276.008,251681459.0,42364758.0,18868250.0,10361541.0,323276008.0
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,12.211.237,-,-,-,12.211.237,12211237.0,,,,12211237.0
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,38.642.439,56,1.495,6.289.799,44.933.789,38642439.0,56.0,1495.0,6289799.0,44933789.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,170.541.669,39.841.455,13.670.266,1.170.751,225.224.141,170541669.0,39841455.0,13670266.0,1170751.0,225224141.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro",1.473.711,-,-,-,1.473.711,1473711.0,,,,1473711.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,13.018.242,1.037.438,2.666.056,-,16.721.736,13018242.0,1037438.0,2666056.0,,16721736.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,3.612.312,764.759,356.696,1.645.095,6.378.862,3612312.0,764759.0,356696.0,1645095.0,6378862.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,239.499.610,41.643.708,16.694.513,9.105.645,306.943.476,239499610.0,41643708.0,16694513.0,9105645.0,306943476.0
