row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
,,,31/12/2018Triệu VNDTài sản/(Nợ phải trả vàvốn chủ sở hữu),31/12/2017Triệu VNDTài sản/(Nợ phải trả vàvốn chủ sở hữu),,
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,Công ty cổ phần Tập đoàn T&T,,
▪ Góp vốn,Công ty cổ phần Tập đoàn T&T > ▪ Góp vốn,▪ Góp vốn,(1.199.768),(1.199.768),-1199768.0,-1199768.0
▪ Tiền gửi không kỳ hạn,Công ty cổ phần Tập đoàn T&T > ▪ Tiền gửi không kỳ hạn,▪ Tiền gửi không kỳ hạn,(112.476),(979.364),-112476.0,-979364.0
▪ Cho vay,Công ty cổ phần Tập đoàn T&T > ▪ Cho vay,▪ Cho vay,(779),(19.432),-779.0,-19432.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,
Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội,,
▪ Góp vốn,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Góp vốn,▪ Góp vốn,42.857,42.857,42857.0,42857.0
▪ Tiền gửi không kỳ hạn,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Tiền gửi không kỳ hạn,▪ Tiền gửi không kỳ hạn,(184.931),(151.100),-184931.0,-151100.0
▪ Lãi dự trả tiền gửi,Tổng Công ty cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Lãi dự trả tiền gửi,▪ Lãi dự trả tiền gửi,(4.339),(6.892),-4339.0,-6892.0
