row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,325.290,314.867,202.081,93.743,26.723,962.704,325290.0,314867.0,202081.0,93743.0,26723.0,962704.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,52.749,20.356,9.950,4.961,3.088,91.104,52749.0,20356.0,9950.0,4961.0,3088.0,91104.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(15.356),(14.962),(3.625),(3.528),(2.926),(40.397),-15356.0,-14962.0,-3625.0,-3528.0,-2926.0,-40397.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,448,35,8,(2.471),-,(1.980),448.0,35.0,8.0,-2471.0,,-1980.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,363.131,320.296,208.414,92.705,26.885,1.011.431,363131.0,320296.0,208414.0,92705.0,26885.0,1011431.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,83.639,227.524,121.024,82.601,23.870,538.658,83639.0,227524.0,121024.0,82601.0,23870.0,538658.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.151,37.784,19.140,5.131,3.012,83.218,18151.0,37784.0,19140.0,5131.0,3012.0,83218.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.640),(14.888),(3.590),(3.171),(2.858),(36.147),-11640.0,-14888.0,-3590.0,-3171.0,-2858.0,-36147.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,197,21,10,50,-,278,197.0,21.0,10.0,50.0,,278.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,90.347,250.441,136.584,84.611,24.024,586.007,90347.0,250441.0,136584.0,84611.0,24024.0,586007.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,241.651,87.343,81.057,11.142,2.853,424.046,241651.0,87343.0,81057.0,11142.0,2853.0,424046.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,272.784,69.855,71.830,8.094,2.861,425.424,272784.0,69855.0,71830.0,8094.0,2861.0,425424.0
