row_label_raw,row_label_full,col_0,31/12/2017Triệu VND(Như đã báo cáotrước đây),31/12/2017Triệu VND(Sau khi phânloại lại),numeric__31/12/2017Triệu VND(Như đã báo cáotrước đây),numeric__31/12/2017Triệu VND(Sau khi phânloại lại)
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,16.456(12.372),(5.188)1.050,,
Chi phí hoạt động,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư > Chi phí hoạt động,Chi phí hoạt động,(2.896.897),(2.629.858),-2896897.0,-2629858.0
Chi phí dự phòng rủi ro tín dụng,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.629.956),(1.888.773),-1629956.0,-1888773.0
