row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Chênh lệch tỷ giá hối đoái,Lợi ích cổ đông không kiểm soát,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi ích cổ đông không kiểm soát,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,11.196.891,101.716,(5.260),25.013,682.932,329.292,1.022,-,2.306,897.661,13.231.573,11196891.0,101716.0,-5260.0,25013.0,682932.0,329292.0,1022.0,,2306.0,897661.0,13231573.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,-,1.539.128,1.539.128,,,,,,,,,,1539128.0,1539128.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,-,135.689,76.426,-,-,(230),(211.885),-,,,,,135689.0,76426.0,,,-230.0,-211885.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,-,(20.000),(20.000),,,,,,,,,,-20000.0,-20000.0
Thuế giữ lại từ chuyển lợi nhuận của công ty con,Thuế giữ lại từ chuyển lợi nhuận của công ty con,Thuế giữ lại từ chuyển lợi nhuận của công ty con,-,-,-,-,-,-,-,-,-,(5.566),(5.566),,,,,,,,,,-5566.0,-5566.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,-,(3.391),(3.391),,,,,,,,,,-3391.0,-3391.0
Thanh lý SHBS,Thanh lý SHBS,Thanh lý SHBS,-,-,-,-,(15.000),(15.000),-,-,(2.076),(19.391),(51.467),,,,,-15000.0,-15000.0,,,-2076.0,-19391.0,-51467.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,-,(16),-,-,-,959,943,,,,,,-16.0,,,,959.0,943.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,11.196.891,101.716,(5.260),25.013,803.621,390.702,1.022,-,-,2.177.515,14.691.220,11196891.0,101716.0,-5260.0,25013.0,803621.0,390702.0,1022.0,,,2177515.0,14691220.0
Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,Phát hành cổ phiếu để chi trả cổ tức,839.270,-,-,-,-,-,-,-,-,(839.270),-,839270.0,,,,,,,,,-839270.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,-,1.672.319,1.672.319,,,,,,,,,,1672319.0,1672319.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,3.538,155.095,87.956,-,-,-,(246.589),-,,,,3538.0,155095.0,87956.0,,,,-246589.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,-,-,54,-,(5.891),-,(25.170),(31.007),,,,,,54.0,,-5891.0,,-25170.0,-31007.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,12.036.161,101.716,(5.260),28.551,958.716,478.712,1.022,(5.891),-,2.738.805,16.332.532,12036161.0,101716.0,-5260.0,28551.0,958716.0,478712.0,1022.0,-5891.0,,2738805.0,16332532.0
