row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018Triệu VND,2017Triệu VND(Phân loại lại),numeric__col_1,numeric__Thuyết minh,numeric__2018Triệu VND,numeric__2017Triệu VND(Phân loại lại)
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,,22.641.366(17.085.464),18.220.214(13.423.554),,,,
2,2,2,Chi phí lãi và các chi phí tương tự,,22.641.366(17.085.464),18.220.214(13.423.554),,,,
I,2 > I,I,Thu nhập lãi thuần,26,5.555.902,4.796.660,,26.0,5555902.0,4796660.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,822.989(109.047),1.526.170(69.305),,,,
4,4,4,Chi phí hoạt động dịch vụ,,822.989(109.047),1.526.170(69.305),,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,27,713.942,1.456.865,,27.0,713942.0,1456865.0
III,4 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,61.747,54.247,,28.0,61747.0,54247.0
IV,4 > IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,,-,(5.188),,,,-5188.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29,277.881,1.050,,29.0,277881.0,1050.0
5,5,5,Thu nhập từ hoạt động khác,,251.134(121.073),359.978(222.486),,,,
6,6,6,Chi phí hoạt động khác,,251.134(121.073),359.978(222.486),,,,
VI,6 > VI,VI,Lãi thuần từ hoạt động khác,30,130.061,137.492,,30.0,130061.0,137492.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,2.202,2.816,,,2202.0,2816.0
VIII,6 > VIII,VIII,Chi phí hoạt động,31,(3.222.791),(2.629.858),,31.0,-3222791.0,-2629858.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,3.518.944,3.814.084,,,3518944.0,3814084.0
X,6 > X,X,Chi phí dự phòng rủi ro tín dụng,,(1.425.091),(1.888.773),,,-1425091.0,-1888773.0
XI,6 > XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,2.093.853,1.925.311,,,2093853.0,1925311.0
