row_label_raw,row_label_full,col_0,Dự phòng rủi ro các khoản phải thu tồn động của HBB Triệu VND,Dự phòng rủi ro các tài sản có khác Triệu VND,Tổng cộngTriệu VND,numeric__Dự phòng rủi ro các khoản phải thu tồn động của HBB Triệu VND,numeric__Dự phòng rủi ro các tài sản có khác Triệu VND,numeric__Tổng cộngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,129.700,13.635,143.335,129700.0,13635.0,143335.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,256.700,10.339,267.039,256700.0,10339.0,267039.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,386.400,23.974,410.374,386400.0,23974.0,410374.0
