row_label_raw,row_label_full,"Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)","Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4","Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_5","numeric__Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_1","numeric__Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_2","numeric__Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_3","numeric__Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_4","numeric__Số 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo)_5"
,,,VND,USD,EUR,Tiền tệ khác,Tổng cộng,,,,,
Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),Tại ngày 31 tháng 12 năm 2017(Triệu VND),,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,886.481,507.125,34.847,18.095,1.446.548,886481.0,507125.0,34847.0,18095.0,1446548.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,2.347.912,1.394.747,-,-,3.742.659,2347912.0,1394747.0,,,3742659.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,28.574.001,4.059.295,106.368,773.852,33.513.516,28574001.0,4059295.0,106368.0,773852.0,33513516.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,3.889,-,-,-,3.889,3889.0,,,,3889.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,(5.757.288),5.607.748,95.407,190.398,136.265,-5757288.0,5607748.0,95407.0,190398.0,136265.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,183.260.221,14.318.366,18.850,693.129,198.290.566,183260221.0,14318366.0,18850.0,693129.0,198290566.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,22.951.210,-,-,-,22.951.210,22951210.0,,,,22951210.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",227.250,-,-,-,227.250,227250.0,,,,227250.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.931.122,16.877,-,4.318,3.952.317,3931122.0,16877.0,,4318.0,3952317.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,17.178.351,9.530.765,40,53.964,26.763.120,17178351.0,9530765.0,40.0,53964.0,26763120.0
,,,253.603.149,35.434.923,255.512,1.733.756,291.027.340,253603149.0,35434923.0,255512.0,1733756.0,291027340.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,2.758.343,-,-,-,2.758.343,2758343.0,,,,2758343.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,40.989.096,12.011.323,-,-,53.000.419,40989096.0,12011323.0,,,53000419.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,181.177.390,13.374.249,251.617,86.514,194.889.770,181177390.0,13374249.0,251617.0,86514.0,194889770.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.061.995,-,2.166,-,1.064.161,1061995.0,,2166.0,,1064161.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,14.967.269,-,-,-,14.967.269,14967269.0,,,,14967269.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.547.074,72.740,351,18.734,4.638.899,4547074.0,72740.0,351.0,18734.0,4638899.0
,,,245.501.167,25.458.312,254.134,105.248,271.318.861,245501167.0,25458312.0,254134.0,105248.0,271318861.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,8.101.982,9.976.611,1.378,1.628.508,19.708.479,8101982.0,9976611.0,1378.0,1628508.0,19708479.0
