row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Quyềnsử dụng đấtVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Quyềnsử dụng đấtVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,3.366.317.261,49.078.589.102,52.444.906.363,3366317261.0,49078589102.0,52444906363.0
Chuyển từ chỉ phí xây dựng cơbản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chỉ phí xây dựng cơbản dở dang (Thuyết minh 15),Chuyển từ chỉ phí xây dựng cơbản dở dang (Thuyết minh 15),235.650.000,33.707.700.000,33.943.350.000,235650000.0,33707700000.0,33943350000.0
Chuyển từ hàng tồn kho (*),Nguyên giá > Chuyển từ hàng tồn kho (*),Chuyển từ hàng tồn kho (*),229.629.779.685,-,229.629.779.685,229629779685.0,,229629779685.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,233.231.746.946,82.786.289.102,316.018.036.048,233231746946.0,82786289102.0,316018036048.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,(3.366.317.261),-,(3.366.317.261),-3366317261.0,,-3366317261.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.481.652.533),-,(4.481.652.533),-4481652533.0,,-4481652533.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,(7.847.969.794),-,(7.847.969.794),-7847969794.0,,-7847969794.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,-,49.078.589.102,49.078.589.102,,49078589102.0,49078589102.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,225.383.777.152,82.786.289.102,308.170.066.254,225383777152.0,82786289102.0,308170066254.0
