row_label_raw,row_label_full,STT,Tên,Hoạt động chính,Tỷ lệ kiểm soát %,Vốn điều lệ VND,numeric__Tên,numeric__Hoạt động chính,numeric__Tỷ lệ kiểm soát %,numeric__Vốn điều lệ VND
(a),(a),(a),Công ty con gián tiếp,,,,,,,
1,(a) > 1,1,Công ty Cổ phần Phát triển Quốc tế Thế kỷ 21,Kinh doanh bất động sản,"98,97",2.534.458.265.952,,,98.97,2534458265952.0
2,(a) > 2,2,Công ty Cổ phần Nova Richstar,"Kinh doanh bất động sản, cho thuê nhà xưởng, kho","99,99",724.000.000.000,,,99.99,724000000000.0
3,(a) > 3,3,Công ty Cổ phần Bất động sản Thanh Niên,Kinh doanh bất động sản,"99,80",530.000.000.000,,,99.8,530000000000.0
4,(a) > 4,4,Công ty Cổ phần Bất động sản Nova Lexington,Kinh doanh bất động sản,"99,90",367.500.000.000,,,99.9,367500000000.0
5,(a) > 5,5,Công ty Cổ phần Đầu tư Thương mại Nhà Ròng,Kinh doanh bất động sản,"99,97",327.426.000.000,,,99.97,327426000000.0
6,(a) > 6,6,Công ty TNHH Mega Tie,Kinh doanh bất động sản,"74,00",210.000.000.000,,,74.0,210000000000.0
7,(a) > 7,7,Công ty TNHH Phú Việt Tín,Kinh doanh bất động sản,"99,90",190.000.000.000,,,99.9,190000000000.0
8,(a) > 8,8,Công ty Cổ phần Cao ốc Phương Đông,Kinh doanh bất động sản,"99,90",182.000.000.000,,,99.9,182000000000.0
9,(a) > 9,9,Công ty TNHH Bất động sản Hưng Đức,Kinh doanh bất động sản,"70,00",6.000.000.000,,,70.0,6000000000.0
10,(a) > 10,10,Công ty TNHH Một thành viên Thành Nhơn,Kinh doanh bất động sản,"100,00",5.000.000.000,,,100.0,5000000000.0
(b),(b),(b),Công ty liên kết gián tiếp,,,,,,,
1,(b) > 1,1,Công ty TNHH Sài Gòn Gôn,"Kinh doanh sân gôn, văn phòng cho thuê","50,00",200.000.000.000,,,50.0,200000000000.0
