row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2016,Nguyên giá > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,6.534.955.668,3.701.566.926,37.451.806.671,7.279.067.756,99.000.000,55.066.397.021,6534955668.0,3701566926.0,37451806671.0,7279067756.0,99000000.0,55066397021.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,39.746.072.552,1.455.769.213,24.916.209.091,3.352.825.789,-,69.470.876.645,39746072552.0,1455769213.0,24916209091.0,3352825789.0,,69470876645.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 15),5.127.692.732,-,3.177.536.000,-,-,8.305.228.732,5127692732.0,,3177536000.0,,,8305228732.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.682.035.600),-,(12.117.884.728),-,-,(16.799.920.328),-4682035600.0,,-12117884728.0,,,-16799920328.0
Tại ngày 31 tháng 12 năm 2016,Nguyên giá > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,46.726.685.352,5.157.336.139,53.427.667.034,10.631.893.545,99.000.000,116.042.582.070,46726685352.0,5157336139.0,53427667034.0,10631893545.0,99000000.0,116042582070.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2016,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,(6.502.466.780),(1.434.594.996),(11.358.987.803),(1.444.456.950),(52.083.322),(20.792.589.851),-6502466780.0,-1434594996.0,-11358987803.0,-1444456950.0,-52083322.0,-20792589851.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(991.764.882),(1.064.025.747),(7.061.779.530),(2.283.829.202),(38.416.666),(11.439.816.027),-991764882.0,-1064025747.0,-7061779530.0,-2283829202.0,-38416666.0,-11439816027.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,7.364.039.830,-,-,7.364.039.830,,,7364039830.0,,,7364039830.0
Tại ngày 31 tháng 12 năm 2016,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,(7.494.231.662),(2.498.620.743),(11.056.727.503),(3.728.286.152),(90.499.988),(24.868.366.048),-7494231662.0,-2498620743.0,-11056727503.0,-3728286152.0,-90499988.0,-24868366048.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2016,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,32.488.888,2.266.971.930,26.092.818.868,5.834.610.806,46.916.678,34.273.807.170,32488888.0,2266971930.0,26092818868.0,5834610806.0,46916678.0,34273807170.0
Tại ngày 31 tháng 12 năm 2016,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,39.232.453.690,2.658.715.396,42.370.939.531,6.903.607.393,8.500.012,91.174.216.022,39232453690.0,2658715396.0,42370939531.0,6903607393.0,8500012.0,91174216022.0
