row_label_raw,row_label_full,Ông Phan Thành Huy,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Bùi Cao Nhật Quân,Ông Bùi Cao Nhật Quân,Ông Bùi Cao Nhật Quân,Phó Tổng Giám đốc,
Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Bà Hoàng Thu Châu,Phó Tổng Giám đốc,
Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Ông Bùi Xuân Huy,Phó Tổng Giám đốc,
Ông Lê Hồng Phúc,Ông Lê Hồng Phúc,Ông Lê Hồng Phúc,Phó Tổng Giám đốc,
Ông Eric Chan Hong Wai,Ông Eric Chan Hong Wai,Ông Eric Chan Hong Wai,Phó Tổng Giám đốc(bổ nhiệm từ 01.03.2016),
Bà Võ Thị Thu Vân,Bà Võ Thị Thu Vân,Bà Võ Thị Thu Vân,Phó Tổng Giám đốc(bổ nhiệm từ 06.10.2016),
