row_label_raw,row_label_full,col_0,Tại ngày1.1.2016VND,Số phải nộptrong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2016VND,numeric__Tại ngày1.1.2016VND,numeric__Số phải nộptrong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2016VND
(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,(a) Phải nộp,,,,,
Thuế thu nhập doanh nghiệp,(a) Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,39.426.553.469,-,(3.353.110.857),(36.073.442.612),-,39426553469.0,,-3353110857.0,-36073442612.0,
Thuế GTGT,(a) Phải nộp > Thuế GTGT,Thuế GTGT,36.288.399.372,186.410.910.776,(125.681.941.655),(97.017.368.493),-,36288399372.0,186410910776.0,-125681941655.0,-97017368493.0,
Thuế thu nhập cá nhân,(a) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.526.861.206,66.495.126.033,-,(68.395.915.348),2.626.071.891,4526861206.0,66495126033.0,,-68395915348.0,2626071891.0
Thuế khác,(a) Phải nộp > Thuế khác,Thuế khác,-,55.086.621.878,-,(55.019.160.134),67.461.744,,55086621878.0,,-55019160134.0,67461744.0
Cộng,(a) Phải nộp > Cộng,Cộng,80.241.814.047,307.992.658.687,(129.035.052.512),(256.505.886.587),2.693.533.635,80241814047.0,307992658687.0,-129035052512.0,-256505886587.0,2693533635.0
(b) Phải thu,(b) Phải thu,(b) Phải thu,(b) Phải thu,(b) Phải thu,(b) Phải thu,(b) Phải thu,(b) Phải thu,,,,,
Thuế GTGT được khấu trừ,(b) Phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,-,(252.978.362.965),125.681.941.655,-,(127.296.421.310),,-252978362965.0,125681941655.0,,-127296421310.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,,,,,,,,,,
Thuế thu nhập doanh nghiệp tạm nộp 1%,Thuế và các khoản khác phải thu Nhà nước > Thuế thu nhập doanh nghiệp tạm nộp 1%,Thuế thu nhập doanh nghiệp tạm nộp 1%,(33.442.701.872),-,3.353.110.857,(11.076.486.580),(41.166.077.595),-33442701872.0,,3353110857.0,-11076486580.0,-41166077595.0
Thuế thu nhập doanh nghiệp theo kết quả hoạt động sản xuất kinh doanh,Thuế và các khoản khác phải thu Nhà nước > Thuế thu nhập doanh nghiệp theo kết quả hoạt động sản xuất kinh doanh,Thuế thu nhập doanh nghiệp theo kết quả hoạt động sản xuất kinh doanh,-,-,-,(20.003.164.878),(20.003.164.878),,,,-20003164878.0,-20003164878.0
Cộng,Thuế và các khoản khác phải thu Nhà nước > Cộng,Cộng,(33.442.701.872),(252.978.362.965),129.035.052.512,(31.079.651.458),(188.465.663.783),-33442701872.0,-252978362965.0,129035052512.0,-31079651458.0,-188465663783.0
