row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu_1,Thăng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn góp của chủ sở hữu_1,numeric__Thăng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Cổ phần thường VND,Cổ phần ưu đãi VND,VND,VND,VND,,,,,
Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,Tại ngày 1 tháng 1 năm 2015,2.300.000.000.000,-,35.718.605.400,238.909.085.733,2.574.627.691.133,2300000000000.0,,35718605400.0,238909085733.0,2574627691133.0
Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,974.657.610.000,-,-,-,974.657.610.000,974657610000.0,,,,974657610000.0
Phát hành cổ phần ưu đãi,Phát hành cổ phần ưu đãi,Phát hành cổ phần ưu đãi,-,178.300.000.000,881.380.000.000,-,1.059.680.000.000,,178300000000.0,881380000000.0,,1059680000000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,34.500.000.000,-,(34.500.000.000),-,-,34500000000.0,,-34500000000.0,,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,195.500.000.000,-,-,(195.500.000.000),-,195500000000.0,,,-195500000000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,233.189.636.923,233.189.636.923,,,,233189636923.0,233189636923.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(559.617.378),(559.617.378),,,,-559617378.0,-559617378.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,3.504.657.610.000,178.300.000.000,882.598.605.400,276.039.105.278,4.841.595.320.678,3504657610000.0,178300000000.0,882598605400.0,276039105278.0,4841595320678.0
Phát hành cổ phần phổ thông (i),Phát hành cổ phần phổ thông (i),Phát hành cổ phần phổ thông (i),1.017.039.570.000,-,-,-,1.017.039.570.000,1017039570000.0,,,,1017039570000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần (ii),519.995.160.000,-,(519.995.160.000),-,-,519995160000.0,,-519995160000.0,,
Chào bán riêng lẻ (iii),Chào bán riêng lẻ (iii),Chào bán riêng lẻ (iii),522.000.000.000,-,2.031.423.000.000,-,2.553.423.000.000,522000000000.0,,2031423000000.0,,2553423000000.0
Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông (iv),330.000.000.000,(110.000.000.000),(220.000.000.000),-,-,330000000000.0,-110000000000.0,-220000000000.0,,
Chia cổ tức (v),Chia cổ tức (v),Chia cổ tức (v),-,-,-,(53.490.000.000),(53.490.000.000),,,,-53490000000.0,-53490000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,857.005.044.292,857.005.044.292,,,,857005044292.0,857005044292.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,5.893.692.340.000,68.300.000.000,2.174.026.445.400,1.079.554.149.570,9.215.572.934.970,5893692340000.0,68300000000.0,2174026445400.0,1079554149570.0,9215572934970.0
