row_label_raw,row_label_full,col_0,Tại ngày1.1.2016VND,"Biến độngdo mua, bán,sáp nhậptrong nămVND",Tăng khácVND,GiảmVND,Tại ngày31.12.2016VND,numeric__Tại ngày1.1.2016VND,"numeric__Biến độngdo mua, bán,sáp nhậptrong nămVND",numeric__Tăng khácVND,numeric__GiảmVND,numeric__Tại ngày31.12.2016VND
Bên thứ ba,Bên thứ ba,Bên thứ ba,797.835.016.535,(425.295.397.851),459.072.333.572,(470.031.543.442),361.580.408.814,797835016535.0,-425295397851.0,459072333572.0,-470031543442.0,361580408814.0
Công ty TNHH Bắt động sản Gia Phú,Công ty TNHH Bắt động sản Gia Phú,Công ty TNHH Bắt động sản Gia Phú,311.580.408.814,-,-,-,311.580.408.814,311580408814.0,,,,311580408814.0
Công ty TNHH Deawon Cantavil,Công ty TNHH Deawon Cantavil,Công ty TNHH Deawon Cantavil,-,-,50.000.000.000,-,50.000.000.000,,,50000000000.0,,50000000000.0
Công ty Cổ phần Nova Bắc Nam 79,Công ty Cổ phần Nova Bắc Nam 79,Công ty Cổ phần Nova Bắc Nam 79,820.000.000,-,229.000.000.000,(229.820.000.000),-,820000000.0,,229000000000.0,-229820000000.0,
Công ty TNHH Đầu tư và Phát triển Bắtđộng sản CQ89,Công ty TNHH Đầu tư và Phát triển Bắtđộng sản CQ89,Công ty TNHH Đầu tư và Phát triển Bắtđộng sản CQ89,-,-,90.000.000.000,(90.000.000.000),-,,,90000000000.0,-90000000000.0,
Công ty Cổ phần Địa ốc Nhật Hoa,Công ty Cổ phần Địa ốc Nhật Hoa,Công ty Cổ phần Địa ốc Nhật Hoa,-,-,35.350.000.000,(35.350.000.000),-,,,35350000000.0,-35350000000.0,
Công ty TNHH Đầu tư và Phát triển SongGiang,Công ty TNHH Đầu tư và Phát triển SongGiang,Công ty TNHH Đầu tư và Phát triển SongGiang,-,-,30.000.000.000,(30.000.000.000),-,,,30000000000.0,-30000000000.0,
Công ty TNHH Đầu tư và Phát triển Bắtđộng sản SSR,Công ty TNHH Đầu tư và Phát triển Bắtđộng sản SSR,Công ty TNHH Đầu tư và Phát triển Bắtđộng sản SSR,-,-,21.112.000.000,(21.112.000.000),-,,,21112000000.0,-21112000000.0,
Công ty TNHH Đầu tư Địa ốc Minh Thành,Công ty TNHH Đầu tư Địa ốc Minh Thành,Công ty TNHH Đầu tư Địa ốc Minh Thành,5.139.209.870,-,3.610.333.572,(8.749.543.442),-,5139209870.0,,3610333572.0,-8749543442.0,
Công ty Cổ phần Đức Khải,Công ty Cổ phần Đức Khải,Công ty Cổ phần Đức Khải,10.000.000.000,-,-,(10.000.000.000),-,10000000000.0,,,-10000000000.0,
Công ty TNHH Kinh doanh Bắt động sảnLC,Công ty TNHH Kinh doanh Bắt động sảnLC,Công ty TNHH Kinh doanh Bắt động sảnLC,45.000.000.000,-,-,(45.000.000.000),-,45000000000.0,,,-45000000000.0,
Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,160.716.923.359,(160.716.923.359),-,-,-,160716923359.0,-160716923359.0,,,
Công ty Cổ phần Bắt động sản ThanhNiên,Công ty Cổ phần Bắt động sản ThanhNiên,Công ty Cổ phần Bắt động sản ThanhNiên,264.578.474.492,(264.578.474.492),-,-,-,264578474492.0,-264578474492.0,,,
Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),Bên liên quan (Thuyết minh 37(b)),157.005.815.619,425.295.397.851,1.655.280.264.031,(1.619.267.965.501),618.313.512.000,157005815619.0,425295397851.0,1655280264031.0,-1619267965501.0,618313512000.0
,,,954.840.832.154,-,2.114.352.597.603,(2.089.299.508.943),979.893.920.814,954840832154.0,,2114352597603.0,-2089299508943.0,979893920814.0
