row_label_raw,row_label_full,Công ty TNHH Bất động sản Khải Hưng,351.310.000.000,1.089.074.505.595,numeric__351.310.000.000,numeric__1.089.074.505.595
Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,Công ty TNHH Phú Việt Tín,306.779.302.070,-,306779302070.0,
Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,241.150.000.000,-,241150000000.0,
Công ty Cổ phần Bất động sản Thanh Niên,Công ty Cổ phần Bất động sản Thanh Niên,Công ty Cổ phần Bất động sản Thanh Niên,153.337.331.961,-,153337331961.0,
Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,136.120.000.000,-,136120000000.0,
Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,130.881.000.000,-,130881000000.0,
Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,95.000.000.000,48.000.000.000,95000000000.0,48000000000.0
Công ty TNHH Nova An Phú,Công ty TNHH Nova An Phú,Công ty TNHH Nova An Phú,88.130.000.000,-,88130000000.0,
Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,85.632.630.000,44.431.310.024,85632630000.0,44431310024.0
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,43.420.000.000,-,43420000000.0,
Công ty TNHH No Va Thảo Điền,Công ty TNHH No Va Thảo Điền,Công ty TNHH No Va Thảo Điền,12.700.000.000,310.560.000.000,12700000000.0,310560000000.0
Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,10.320.000.000,-,10320000000.0,
Công ty Cổ phần Đầu tư Quảng trường Mê Linh,Công ty Cổ phần Đầu tư Quảng trường Mê Linh,Công ty Cổ phần Đầu tư Quảng trường Mê Linh,500.000.000,-,500000000.0,
Công ty Cổ phần Địa ốc Thành Nhơn,Công ty Cổ phần Địa ốc Thành Nhơn,Công ty Cổ phần Địa ốc Thành Nhơn,-,64.093.000.000,,64093000000.0
Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,-,153.000.000.000,,153000000000.0
,,,1.655.280.264.031,1.709.158.815.619,1655280264031.0,1709158815619.0
